PERMNO,date,PRC,VOL,RET,BID,ASK,SHROUT,sprtrn
85765,1/2/2009,90.2,24577600,0.030622,90.22,90.22,104324,0.031608
85765,1/5/2009,89.7,25625100,-0.005543,89.63,89.63,104324,-0.004668
85765,1/6/2009,90.15,37269200,0.005017,90.15,90.16,104324,0.007817
85765,1/7/2009,87.86,33167200,-0.025402,87.84,87.82,104324,-0.03001
85765,1/8/2009,87.43,23643300,-0.004894,87.49,87.49,104324,0.003397
85765,1/9/2009,86.14,24497400,-0.014755,86.09,86.07,104324,-0.021303
85765,1/12/2009,84.79,22625500,-0.015672,84.74,84.75,104324,-0.022564
85765,1/13/2009,84.42,29853300,-0.004364,84.44,84.45,104324,0.001758
85765,1/14/2009,82.08,38889200,-0.027719,82.06,82.07,104324,-0.03346
85765,1/15/2009,82.18,44232800,0.001218,82.24,82.22,104324,0.001329
85765,1/16/2009,82.69,37630300,0.007918,82.64,82.65,104324,0.007562
85765,1/20/2009,79.41,36926800,-0.039666,79.42,79.43,104324,-0.052816
85765,1/21/2009,82.24,34839300,0.035638,82.22,82.23,104324,0.043491
85765,1/22/2009,81.16,40166200,-0.013132,81.17,81.18,104324,-0.015162
85765,1/23/2009,80.52,44704000,-0.007886,80.66,80.64,104324,0.005378
85765,1/26/2009,81.07,28919900,0.006831,81.03,81.06,104324,0.005553
85765,1/27/2009,81.51,23359500,0.005427,81.68,81.69,104324,0.010926
85765,1/28/2009,83.679,21101900,0.02661,83.65,83.67,104324,0.033558
85765,1/29/2009,81.53,20834200,-0.025681,81.49,81.5,104324,-0.03312
85765,1/30/2009,80.08,26178400,-0.017785,80.06,80.05,103374,-0.022789
85765,2/2/2009,79.32,22970500,-0.009491,79.33,79.34,103374,-0.000533
85765,2/3/2009,80.63,24080700,0.016515,80.63,80.64,103374,0.015834
85765,2/4/2009,79.69,27510000,-0.011658,79.68,79.69,103374,-0.007489
85765,2/5/2009,80.55,39873400,0.010792,80.58,80.57,103374,0.016366
85765,2/6/2009,82.86,30049700,0.028678,82.85,82.87,103374,0.026896
85765,2/9/2009,82.75,20837600,-0.001328,82.77,82.78,103374,0.001485
85765,2/10/2009,79.19,49006600,-0.043021,79.07,79.08,103374,-0.049121
85765,2/11/2009,79.55,33290100,0.004546,79.58,79.57,103374,0.007955
85765,2/12/2009,79.5,45482000,-0.000629,79.5,79.51,103374,0.001739
85765,2/13/2009,78.55,23851400,-0.01195,78.54,78.55,103374,-0.009998
85765,2/17/2009,75.75,36732400,-0.035646,75.75,75.74,103374,-0.045559
85765,2/18/2009,75.76,35795000,0.000132,75.78,75.77,103374,-0.00095
85765,2/19/2009,75.03,30933900,-0.009636,75.03,75.04,103374,-0.012024
85765,2/20/2009,73.73,46352400,-0.012457,73.73,73.73,103374,-0.011413
85765,2/23/2009,71.15,36014400,-0.034993,71.15,71.15,103374,-0.034699
85765,2/24/2009,73.38,37531300,0.031342,73.41,73.41,103374,0.040103
85765,2/25/2009,72.67,43673700,-0.009676,72.67,72.67,103374,-0.010658
85765,2/26/2009,71.84,31374100,-0.011422,71.84,71.83,103374,-0.01578
85765,2/27/2009,70.76,35772500,-0.015033,70.74,70.76,103374,-0.023564
85765,3/2/2009,67.83,36932200,-0.041408,67.77,67.75,103374,-0.04662
85765,3/3/2009,67.21,30808400,-0.009141,67.23,67.24,103374,-0.006407
85765,3/4/2009,68.77,31997700,0.023211,68.82,68.82,103374,0.023753
85765,3/5/2009,66.07,35057200,-0.039261,66.04,66.05,103374,-0.042532
85765,3/6/2009,66.5,35835900,0.006508,66.46,66.47,103374,0.001216
85765,3/9/2009,65.44,28121200,-0.01594,65.47,65.49,103374,-0.010024
85765,3/10/2009,69.14,31012800,0.05654,69.12,69.13,103374,0.063663
85765,3/11/2009,69.48,21884500,0.004918,69.47,69.48,103374,0.002446
85765,3/12/2009,71.77,21946400,0.032959,71.77,71.78,103374,0.040729
85765,3/13/2009,72.32,21839000,0.007663,72.35,72.35,103374,0.007739
85765,3/16/2009,72.31,24523200,-0.000138,72.28,72.29,103374,-0.003516
85765,3/17/2009,74.08,20457000,0.024478,74.08,74.07,103374,0.03214
85765,3/18/2009,74.97,35912100,0.012014,75,74.97,103374,0.020858
85765,3/19/2009,74.11,25414600,-0.011471,74.08,74.09,103374,-0.012979
85765,3/20/2009,72.74,22998500,-0.016098,72.65,72.66,103374,-0.019769
85765,3/23/2009,77.76,25718000,0.069013,77.75,77.75,103374,0.070758
85765,3/24/2009,76.7,20396500,-0.013632,76.53,76.54,103374,-0.020415
85765,3/25/2009,77.41,30264600,0.009257,77.43,77.44,103374,0.009626
85765,3/26/2009,79.1,29413100,0.021832,79.1,79.11,103374,0.02332
85765,3/27/2009,77.81,19999800,-0.016308,77.79,77.8,103374,-0.020316
85765,3/30/2009,75.25,25811700,-0.032901,75.23,75.24,103374,-0.034819
85765,3/31/2009,75.84,28187400,0.00784,75.87,75.89,93430,0.01313
85765,4/1/2009,77.53,25420300,0.022284,77.54,77.55,93430,0.016557
85765,4/2/2009,79.71,30182000,0.028118,79.72,79.73,93430,0.028727
85765,4/3/2009,80.16,20620200,0.005646,80.17,80.17,93430,0.009732
85765,4/6/2009,79.76,17840100,-0.00499,79.74,79.73,93430,-0.008332
85765,4/7/2009,77.89,17326300,-0.023445,77.88,77.88,93430,-0.023855
85765,4/8/2009,78.37,15718900,0.006163,78.4,78.41,93430,0.011783
85765,4/9/2009,80.89,19292600,0.032155,80.88,80.9,93430,0.038053
85765,4/13/2009,80.55,12000900,-0.004203,80.55,80.56,93430,0.002533
85765,4/14/2009,79.27,18589900,-0.015891,79.29,79.3,93430,-0.020065
85765,4/15/2009,80.3,18265200,0.012994,80.33,80.34,93430,0.012549
85765,4/16/2009,81.26,19527400,0.011955,81.28,81.29,93430,0.015539
