PERMNO,date,PRC,VOL,RET,BID,ASK,SHROUT,sprtrn
92003,1/2/2009,13.3599,15900,0.030857,13.32,13.35,1450,0.031608
92003,1/5/2009,13.23,9200,-0.009723,13.3,13.35,1450,-0.004668
92003,1/6/2009,13.19,7400,-0.003023,13.21,13.26,1450,0.007817
92003,1/7/2009,12.9616,23600,-0.017316,12.98,13.02,1450,-0.03001
92003,1/8/2009,13.1662,8100,0.015785,13.12,13.15,1450,0.003397
92003,1/9/2009,12.94,8600,-0.01718,12.88,12.92,1450,-0.021303
92003,1/12/2009,12.7199,4500,-0.017009,12.68,12.71,1450,-0.022564
92003,1/13/2009,12.62,8700,-0.007854,12.62,12.64,1450,0.001758
92003,1/14/2009,12.3084,11700,-0.024691,12.34,12.39,1450,-0.03346
92003,1/15/2009,12.31,85000,0.00013,12.31,12.35,1450,0.001329
92003,1/16/2009,12.59,12200,0.022746,12.49,12.53,1450,0.007562
92003,1/20/2009,12.2,6600,-0.030977,12.15,12.17,1450,-0.052816
92003,1/21/2009,12.44,4100,0.019672,12.47,12.51,1450,0.043491
92003,1/22/2009,12.42,17200,-0.001608,12.41,12.45,1450,-0.015162
92003,1/23/2009,12.53,4100,0.008857,12.51,12.53,1450,0.005378
92003,1/26/2009,12.84,6600,0.024741,12.81,12.84,1450,0.005553
92003,1/27/2009,12.8684,9100,0.002212,12.83,12.88,1450,0.010926
92003,1/28/2009,12.97,33300,0.007895,12.97,13.01,1450,0.033558
92003,1/29/2009,12.78,5600,-0.014649,12.74,12.78,1450,-0.03312
92003,1/30/2009,12.5064,5400,-0.021408,12.47,12.53,1450,-0.022789
92003,2/2/2009,12.62,3000,0.009083,12.58,12.61,1450,-0.000533
92003,2/3/2009,12.7,19500,0.006339,12.66,12.69,1450,0.015834
92003,2/4/2009,12.73,3300,0.002362,12.74,12.78,1450,-0.007489
92003,2/5/2009,12.9,5100,0.013354,12.83,12.86,1450,0.016366
92003,2/6/2009,13.05,3700,0.011628,13.03,13.07,1450,0.026896
92003,2/9/2009,12.9753,16600,-0.005724,13.01,13.04,1450,0.001485
92003,2/10/2009,12.6,4500,-0.028924,12.63,12.66,1450,-0.049121
92003,2/11/2009,12.49,2700,-0.00873,12.49,12.52,1450,0.007955
92003,2/12/2009,12.35,3600,-0.011209,12.47,12.5,1450,0.001739
92003,2/13/2009,12.58,302900,0.018623,12.48,12.54,1450,-0.009998
92003,2/17/2009,11.94,2900,-0.050874,11.8,11.83,1450,-0.045559
92003,2/18/2009,11.56,18000,-0.031826,11.56,11.6,1450,-0.00095
92003,2/19/2009,11.44,38600,-0.010381,11.41,11.47,1450,-0.012024
92003,2/20/2009,11.26,11300,-0.015734,11.26,11.3,1450,-0.011413
92003,2/23/2009,10.94,23400,-0.028419,10.94,10.99,1450,-0.034699
92003,2/24/2009,11.3,16300,0.032907,11.27,11.31,1450,0.040103
92003,2/25/2009,11.244,20100,-0.004956,11.22,11.26,1450,-0.010658
92003,2/26/2009,11.1,9900,-0.012807,11.1,11.15,1450,-0.01578
92003,2/27/2009,11.05,18400,-0.004505,11.01,11.05,1200,-0.023564
92003,3/2/2009,10.41,15700,-0.057919,10.4,10.48,1200,-0.04662
92003,3/3/2009,10.07,20900,-0.032661,10.06,10.14,1200,-0.006407
92003,3/4/2009,10.4,12700,0.032771,10.4,10.43,1200,0.023753
92003,3/5/2009,10,18200,-0.038462,10,10.03,1200,-0.042532
92003,3/6/2009,10.03,31300,0.003,10,10.06,1200,0.001216
92003,3/9/2009,9.87,48400,-0.015952,9.84,9.88,1200,-0.010024
92003,3/10/2009,10.28,19900,0.04154,10.23,10.27,1200,0.063663
92003,3/11/2009,10.31,6100,0.002918,10.26,10.29,1200,0.002446
92003,3/12/2009,10.56,16500,0.024248,10.52,10.56,1200,0.040729
92003,3/13/2009,10.76,7900,0.018939,10.71,10.75,1200,0.007739
92003,3/16/2009,10.856,11500,0.008922,10.84,10.86,1200,-0.003516
92003,3/17/2009,11.11,5100,0.023397,11.08,11.12,1200,0.03214
92003,3/18/2009,11.39,9000,0.025203,11.38,11.44,1200,0.020858
92003,3/19/2009,11.5514,19400,0.01417,11.55,11.59,1200,-0.012979
92003,3/20/2009,11.4955,2700,-0.004839,11.4,11.43,1200,-0.019769
92003,3/23/2009,11.79,5700,0.025619,11.95,11.99,1200,0.070758
92003,3/24/2009,11.85,11100,0.005089,11.72,11.77,1200,-0.020415
92003,3/25/2009,11.65,3400,-0.016878,11.72,11.79,1200,0.009626
92003,3/26/2009,11.96,10700,0.026609,11.96,12,1200,0.02332
92003,3/27/2009,11.83,8800,-0.01087,11.79,11.83,1200,-0.020316
92003,3/30/2009,11.46,12800,-0.031276,11.43,11.48,1200,-0.034819
92003,3/31/2009,11.63,3300,0.014834,11.54,11.61,1050,0.01313
92003,4/1/2009,11.76,7500,0.011178,11.7,11.76,1050,0.016557
92003,4/2/2009,11.99,2300,0.019558,11.93,11.97,1050,0.028727
92003,4/3/2009,12.08,4100,0.007506,12.04,12.09,1050,0.009732
92003,4/6/2009,12.02,4400,-0.004967,11.98,12.02,1050,-0.008332
92003,4/7/2009,11.81,3100,-0.017471,11.78,11.81,1050,-0.023855
92003,4/8/2009,11.88,5600,0.005927,11.85,11.88,1050,0.011783
92003,4/9/2009,12.03,15500,0.012626,12.05,12.08,1050,0.038053
92003,4/13/2009,11.9981,22800,-0.002652,11.92,11.96,1050,0.002533
92003,4/14/2009,11.89,6500,-0.00901,11.82,11.83,1050,-0.020065
