PERMNO,date,PRC,VOL,RET,BID,ASK,SHROUT,sprtrn
91232,1/2/2009,33.32,4848600,-0.016529,33.32,33.38,71853,0.031608
91232,1/5/2009,31.74,7601000,-0.047419,31.79,31.82,71853,-0.004668
91232,1/6/2009,32.61,8026500,0.02741,32.65,32.71,71853,0.007817
91232,1/7/2009,30.05,6702600,-0.078504,30.01,30.05,71853,-0.03001
91232,1/8/2009,31.79,5024600,0.057904,31.73,31.74,71853,0.003397
91232,1/9/2009,31.31,4484000,-0.015099,31.11,31.16,71853,-0.021303
91232,1/12/2009,28.95,5879200,-0.075375,28.98,29.04,71853,-0.022564
91232,1/13/2009,29.52,8157900,0.019689,29.49,29.57,71853,0.001758
91232,1/14/2009,28.2,5980100,-0.044715,28.06,28.25,71853,-0.03346
91232,1/15/2009,29.13,6393700,0.032979,29.24,29.31,71853,0.001329
91232,1/16/2009,30.93,9830400,0.061792,31,31.01,71853,0.007562
91232,1/20/2009,30.88,7954500,-0.001617,30.84,30.99,71853,-0.052816
91232,1/21/2009,31.65,6469400,0.024935,31.65,31.8,71853,0.043491
91232,1/22/2009,31.46,4949400,-0.006003,31.5,31.62,71853,-0.015162
91232,1/23/2009,34.14,12222400,0.085188,34.28,34.32,71853,0.005378
91232,1/26/2009,33.97,11126000,-0.004979,33.9,33.97,71853,0.005553
91232,1/27/2009,33.47,6624900,-0.014719,33.31,33.47,71853,0.010926
91232,1/28/2009,32.73,7385100,-0.022109,32.72,32.78,71853,0.033558
91232,1/29/2009,34.4,10769700,0.051024,34.36,34.39,71853,-0.03312
91232,1/30/2009,34.23,11642000,-0.004942,34.14,34.23,71583,-0.022789
91232,2/2/2009,32.9,10274600,-0.038855,32.91,32.96,71583,-0.000533
91232,2/3/2009,33.36,9822200,0.013982,33.22,33.23,71583,0.015834
91232,2/4/2009,34.06,7307500,0.020983,33.92,34.02,71583,-0.007489
91232,2/5/2009,34.7,11352800,0.01879,34.62,34.69,71583,0.016366
91232,2/6/2009,35.42,9257800,0.020749,35.38,35.42,71583,0.026896
91232,2/9/2009,34.37,6718200,-0.029644,34.28,34.3,71583,0.001485
91232,2/10/2009,34,11841700,-0.010765,33.68,33.77,71583,-0.049121
91232,2/11/2009,36.33,17256900,0.068529,36.29,36.33,71583,0.007955
91232,2/12/2009,36.48,14511400,0.004129,36.42,36.45,71583,0.001739
91232,2/13/2009,35.68,6690200,-0.02193,35.65,35.67,71583,-0.009998
91232,2/17/2009,37,19199900,0.036996,36.89,36.92,71583,-0.045559
91232,2/18/2009,37.37,13205100,0.01,37.33,37.37,71583,-0.00095
91232,2/19/2009,35.64,14363500,-0.046294,35.64,35.68,71583,-0.012024
91232,2/20/2009,37.03,19554700,0.039001,36.99,37.02,71583,-0.011413
91232,2/23/2009,36.47,23082600,-0.015123,36.47,36.5,71583,-0.034699
91232,2/24/2009,33.5,18754500,-0.081437,33.41,33.49,71583,0.040103
91232,2/25/2009,32.9,15975500,-0.01791,32.86,32.9,71583,-0.010658
91232,2/26/2009,33.5,12763400,0.018237,33.42,33.45,71583,-0.01578
91232,2/27/2009,33.36,10806500,-0.004179,33.27,33.35,71583,-0.023564
91232,3/2/2009,31.09,11878100,-0.068046,30.94,31.08,71583,-0.04662
91232,3/3/2009,31.68,10156200,0.018977,31.58,31.68,71583,-0.006407
91232,3/4/2009,31.4,7662400,-0.008838,31.38,31.41,71583,0.023753
91232,3/5/2009,33.02,9318900,0.051592,32.96,33.02,71583,-0.042532
91232,3/6/2009,32.88,10024600,-0.00424,32.83,32.89,71583,0.001216
91232,3/9/2009,31.55,7638100,-0.04045,31.64,31.66,71583,-0.010024
91232,3/10/2009,29.67,13634000,-0.059588,29.67,29.71,71583,0.063663
91232,3/11/2009,31.34,8957400,0.056286,31.31,31.33,71583,0.002446
91232,3/12/2009,32.68,8911400,0.042757,32.6,32.66,71583,0.040729
91232,3/13/2009,33.08,5890000,0.01224,32.98,33.05,71583,0.007739
91232,3/16/2009,32.56,5202600,-0.015719,32.56,32.67,71583,-0.003516
91232,3/17/2009,31.85,5773400,-0.021806,31.87,32,71583,0.03214
91232,3/18/2009,35.07,16938500,0.101099,35.07,35.09,71583,0.020858
91232,3/19/2009,37.46,16884100,0.068149,37.35,37.44,71583,-0.012979
91232,3/20/2009,37.55,12588100,0.002403,37.46,37.55,71583,-0.019769
91232,3/23/2009,37.71,8233300,0.004261,37.4,37.71,71583,0.070758
91232,3/24/2009,36.86,9659200,-0.02254,36.92,37,71583,-0.020415
91232,3/25/2009,38.47,8569200,0.043679,38.09,38.24,71583,0.009626
91232,3/26/2009,38.57,6279900,0.002599,38.23,38.45,71583,0.02332
91232,3/27/2009,37,4935300,-0.040705,37,37.02,71583,-0.020316
91232,3/30/2009,36.4,6869700,-0.016216,36.37,36.4,71583,-0.034819
91232,3/31/2009,36.88,4479800,0.013187,36.91,37.03,71583,0.01313
91232,4/1/2009,38.6,5279800,0.046638,38.6,38.68,71583,0.016557
91232,4/2/2009,37.1,7861900,-0.03886,37.05,37.1,71583,0.028727
91232,4/3/2009,34.87,10506100,-0.060108,34.72,34.87,71583,0.009732
91232,4/6/2009,33.2,8967500,-0.047892,33.02,33.15,71583,-0.008332
91232,4/7/2009,33.43,5305300,0.006928,33.46,33.5,71583,-0.023855
91232,4/8/2009,33.53,4743000,0.002991,33.48,33.51,71583,0.011783
91232,4/9/2009,33.04,4283300,-0.014614,33.04,33.07,71583,0.038053
91232,4/13/2009,33.77,6771200,0.022094,33.74,33.77,71583,0.002533
91232,4/14/2009,33.69,4602800,-0.002369,33.65,33.66,71583,-0.020065
91232,4/15/2009,33.89,4719300,0.005937,33.83,33.85,71583,0.012549
91232,4/16/2009,32.28,8862800,-0.047507,32.14,32.27,71583,0.015539
91232,4/17/2009,30.97,9359800,-0.040582,30.97,31.04,71583,0.004969
91232,4/20/2009,32.19,8511600,0.039393,32.14,32.19,71583,-0.04279
91232,4/21/2009,31.4,7640900,-0.024542,31.4,31.43,71583,0.021252
91232,4/22/2009,31.6,6709400,0.006369,31.56,31.6,71583,-0.007682
91232,4/23/2009,32.74,9615800,0.036076,32.71,32.72,71583,0.009922
91232,4/24/2009,34.65,8219000,0.058338,34.66,34.68,71583,0.016797
91232,4/27/2009,34.37,5868700,-0.008081,34.3,34.35,71583,-0.010067
91232,4/28/2009,33.11,5193800,-0.03666,33.13,33.14,71583,-0.00274
91232,4/29/2009,33.89,5774800,0.023558,33.88,33.95,71583,0.02161
91232,4/30/2009,32.91,5921500,-0.028917,32.91,32.96,71583,-0.00095
91232,5/1/2009,33.04,2971100,0.00395,33.12,33.17,71583,0.005396
91232,5/4/2009,35.0299,5966600,0.060227,34.93,34.94,71583,0.033868
91232,5/5/2009,34.78,6774000,-0.007134,34.9,35.01,71583,-0.003792
91232,5/6/2009,36.858,7869000,0.059747,36.77,36.82,71583,0.017404
