PERMNO,date,PRC,VOL,RET,BID,ASK,SHROUT,sprtrn
91225,1/2/2009,39.26,209800,0.025601,39.02,39.34,7500,0.031608
91225,1/5/2009,38.46,188700,-0.020377,38.47,38.55,7500,-0.004668
91225,1/6/2009,38.35,291700,-0.00286,38.28,38.38,7500,0.007817
91225,1/7/2009,37.74,35700,-0.015906,37.68,37.74,7500,-0.03001
91225,1/8/2009,37.54,68400,-0.005299,37.57,37.63,7500,0.003397
91225,1/9/2009,37.4,46700,-0.003729,37.33,37.4,7500,-0.021303
91225,1/12/2009,37.86,138000,0.012299,37.86,37.91,7500,-0.022564
91225,1/13/2009,38.67,63900,0.021395,38.62,38.67,7500,0.001758
91225,1/14/2009,38.38,94200,-0.007499,38.33,38.4,7500,-0.03346
91225,1/15/2009,38.89,142300,0.013288,38.8,38.91,7500,0.001329
91225,1/16/2009,39.3,229300,0.010543,39.3,39.34,7500,0.007562
91225,1/20/2009,37.69,79800,-0.040967,37.64,37.75,7500,-0.052816
91225,1/21/2009,38.82,72300,0.029981,38.63,38.73,7500,0.043491
91225,1/22/2009,38.62,67700,-0.005152,38.59,38.64,7500,-0.015162
91225,1/23/2009,37.8,81400,-0.021233,37.66,37.78,7500,0.005378
91225,1/26/2009,38.35,89700,0.01455,38.31,38.35,7500,0.005553
91225,1/27/2009,39.65,85900,0.033898,39.6,39.66,7500,0.010926
91225,1/28/2009,40.53,172900,0.022194,40.48,40.57,7500,0.033558
91225,1/29/2009,39.65,117800,-0.021712,39.65,39.69,7500,-0.03312
91225,1/30/2009,39.58,29800,-0.001765,39.65,39.74,6250,-0.022789
91225,2/2/2009,39.76,84500,0.004548,39.71,39.75,6250,-0.000533
91225,2/3/2009,40.19,230800,0.010815,40.14,40.19,6250,0.015834
91225,2/4/2009,40.54,217600,0.008709,40.43,40.51,6250,-0.007489
91225,2/5/2009,40.8,295200,0.006413,40.76,40.86,6250,0.016366
91225,2/6/2009,41.36,128800,0.013726,41.32,41.38,6250,0.026896
91225,2/9/2009,41.01,65000,-0.008462,40.97,41,6250,0.001485
91225,2/10/2009,39.88,107100,-0.027554,39.81,39.88,6250,-0.049121
91225,2/11/2009,40.36,31800,0.012036,40.32,40.41,6250,0.007955
91225,2/12/2009,40.84,53200,0.011893,40.77,40.84,6250,0.001739
91225,2/13/2009,40.9339,67300,0.002299,40.74,40.92,6250,-0.009998
