PERMNO,date,PRC,VOL,RET,BID,ASK,SHROUT,sprtrn
88225,1/2/2009,36.73,233200,0.039626,36.75,36.87,17450,0.031608
88225,1/5/2009,36.95,286300,0.00599,36.89,36.95,17450,-0.004668
88225,1/6/2009,37.96,282200,0.027334,37.95,38.02,17450,0.007817
88225,1/7/2009,36.69,223000,-0.033456,36.61,36.67,17450,-0.03001
88225,1/8/2009,36.92,275200,0.006269,36.89,36.94,17450,0.003397
88225,1/9/2009,36,281900,-0.024919,35.98,36.03,17450,-0.021303
88225,1/12/2009,35.5,285300,-0.013889,35.42,35.48,17450,-0.022564
88225,1/13/2009,35.41,483400,-0.002535,35.36,35.43,17450,0.001758
88225,1/14/2009,34.28,263400,-0.031912,34.18,34.23,17450,-0.03346
88225,1/15/2009,34.48,511600,0.005834,34.48,34.54,17450,0.001329
88225,1/16/2009,34.84,512000,0.010441,34.83,34.89,17450,0.007562
88225,1/20/2009,33.12,462700,-0.049369,33.07,33.12,17450,-0.052816
88225,1/21/2009,34.8,523100,0.050725,34.74,34.8,17450,0.043491
88225,1/22/2009,34.06,453400,-0.021264,34.01,34.05,17450,-0.015162
88225,1/23/2009,34.564,609200,0.014797,34.54,34.59,17450,0.005378
88225,1/26/2009,34.92,501000,0.0103,34.91,34.97,17450,0.005553
88225,1/27/2009,35.39,394300,0.013459,35.33,35.41,17450,0.010926
88225,1/28/2009,36.56,431800,0.03306,36.53,36.55,17450,0.033558
88225,1/29/2009,35.44,218700,-0.030635,35.38,35.43,17450,-0.03312
88225,1/30/2009,34.35,448900,-0.030756,34.41,34.46,17500,-0.022789
88225,2/2/2009,34.86,900800,0.014847,34.87,34.92,17500,-0.000533
88225,2/3/2009,35.4,488000,0.015491,35.39,35.44,17500,0.015834
88225,2/4/2009,35.63,548500,0.006497,35.59,35.66,17500,-0.007489
88225,2/5/2009,36.32,465800,0.019366,36.27,36.32,17500,0.016366
88225,2/6/2009,37.58,1133200,0.034692,37.52,37.58,17500,0.026896
88225,2/9/2009,37.75,836100,0.004524,37.71,37.76,17500,0.001485
88225,2/10/2009,36.24,397300,-0.04,36.14,36.28,17500,-0.049121
88225,2/11/2009,36.26,289300,0.000552,36.26,36.32,17500,0.007955
88225,2/12/2009,36.45,461500,0.00524,36.46,36.52,17500,0.001739
88225,2/13/2009,36.5,311800,0.001372,36.41,36.52,17500,-0.009998
