PERMNO,date,PRC,VOL,RET,BID,ASK,SHROUT,sprtrn
91005,1/2/2009,22.34,1621500,0.014993,22.25,22.34,49402,0.031608
91005,1/5/2009,21.51,7108300,-0.037153,21.65,21.66,49402,-0.004668
91005,1/6/2009,21.83,3034000,0.014877,21.82,21.86,49402,0.007817
91005,1/7/2009,20.75,7165000,-0.049473,20.69,20.73,49402,-0.03001
91005,1/8/2009,20.65,2875500,-0.004819,20.62,20.68,49402,0.003397
91005,1/9/2009,19.78,10313800,-0.042131,19.71,19.79,49402,-0.021303
91005,1/12/2009,18.68,2454700,-0.055612,18.58,18.68,49402,-0.022564
91005,1/13/2009,18.88,5160400,0.010707,18.86,18.91,49402,0.001758
91005,1/14/2009,17.79,8531600,-0.057733,17.79,17.82,49402,-0.03346
91005,1/15/2009,16.41,10984900,-0.077572,16.41,16.44,49402,0.001329
91005,1/16/2009,15.69,5604800,-0.043876,15.67,15.73,49402,0.007562
91005,1/20/2009,12.61,6341900,-0.196303,12.6,12.65,49402,-0.052816
91005,1/21/2009,14.42,8204100,0.143537,14.44,14.47,49402,0.043491
91005,1/22/2009,13.6,7201400,-0.056865,13.58,13.6,49402,-0.015162
91005,1/23/2009,14.17,5309100,0.041912,14.13,14.17,49402,0.005378
91005,1/26/2009,13.73,3258600,-0.031052,13.73,13.76,49402,0.005553
91005,1/27/2009,14.23,7465200,0.036417,14.21,14.23,49402,0.010926
91005,1/28/2009,16.3,7740500,0.145467,16.15,16.19,49402,0.033558
91005,1/29/2009,14.86,3673600,-0.088344,14.87,14.92,49402,-0.03312
91005,1/30/2009,14.28,10964400,-0.039031,14.31,14.37,49402,-0.022789
91005,2/2/2009,14.18,2907400,-0.007003,14.18,14.21,49402,-0.000533
91005,2/3/2009,13.38,6318700,-0.056418,13.44,13.5,49402,0.015834
91005,2/4/2009,13.2667,3521800,-0.008468,13.26,13.32,49402,-0.007489
91005,2/5/2009,13.63,11224000,0.027384,13.56,13.59,49402,0.016366
91005,2/6/2009,15.19,12597400,0.114453,15.14,15.19,49402,0.026896
91005,2/9/2009,15.48,9291300,0.019092,15.46,15.47,49402,0.001485
91005,2/10/2009,13.29,13647000,-0.141473,13.33,13.33,49402,-0.049121
91005,2/11/2009,14.19,6114700,0.06772,14.14,14.15,49402,0.007955
91005,2/12/2009,13.78,6299700,-0.028894,13.74,13.75,49402,0.001739
91005,2/13/2009,13.02,7137100,-0.055152,13.04,13.05,49402,-0.009998
91005,2/17/2009,11.69,7066600,-0.102151,11.74,11.78,49402,-0.045559
91005,2/18/2009,11.7,12792500,0.000855,11.7,11.71,49402,-0.00095
91005,2/19/2009,10.87,4471800,-0.07094,10.88,10.91,49402,-0.012024
91005,2/20/2009,10.86,8850200,-0.00092,10.87,10.9,49402,-0.011413
91005,2/23/2009,10.93,9833500,0.006446,10.85,10.9,49402,-0.034699
91005,2/24/2009,12.29,6018700,0.124428,12.25,12.26,49402,0.040103
91005,2/25/2009,12.61,9147300,0.026037,12.58,12.63,49402,-0.010658
91005,2/26/2009,13.21,9067400,0.047581,13.19,13.2,49402,-0.01578
91005,2/27/2009,12.18,5588500,-0.077971,12.17,12.19,49402,-0.023564
91005,3/2/2009,11.27,4022600,-0.074713,11.26,11.33,49402,-0.04662
91005,3/3/2009,11.18,3430400,-0.007986,11.16,11.2,49402,-0.006407
91005,3/4/2009,10.75,10357100,-0.038462,10.74,10.81,49402,0.023753
91005,3/5/2009,9.54,7936800,-0.112558,9.52,9.54,49402,-0.042532
91005,3/6/2009,9.31,9833000,-0.024109,9.31,9.39,49402,0.001216
91005,3/9/2009,9.81,6733900,0.053706,9.81,9.88,49402,-0.010024
91005,3/10/2009,11.2,11893200,0.141692,11.22,11.31,49402,0.063663
91005,3/11/2009,11.65,10889400,0.040179,11.63,11.65,49402,0.002446
91005,3/12/2009,12.96,12305800,0.112446,12.94,12.95,49402,0.040729
91005,3/13/2009,12.79,9212300,-0.013117,12.76,12.79,49402,0.007739
91005,3/16/2009,12.725,11351100,-0.005082,12.67,12.72,49402,-0.003516
91005,3/17/2009,13.59,13045500,0.067976,13.54,13.63,49402,0.03214
91005,3/18/2009,15.07,37099600,0.108904,15.05,15.06,49402,0.020858
91005,3/19/2009,13.65,18833700,-0.094227,13.65,13.8,49402,-0.012979
91005,3/20/2009,12.91,10496900,-0.043801,12.88,12.94,49402,-0.019769
91005,3/23/2009,15.31,13961100,0.185902,15.24,15.47,49402,0.070758
91005,3/24/2009,14.35,7648700,-0.062704,14.18,14.21,49402,-0.020415
91005,3/25/2009,15,11850200,0.045296,14.81,14.92,49402,0.009626
91005,3/26/2009,14.81,13954000,-0.012667,14.84,14.98,49402,0.02332
91005,3/27/2009,14.52,20885600,-0.019581,14.53,14.56,49402,-0.020316
91005,3/30/2009,13.1,6339200,-0.097796,13.06,13.1,49402,-0.034819
91005,3/31/2009,13.86,10009400,0.058015,13.84,13.9,37750,0.01313
91005,4/1/2009,14.46,12222200,0.04329,14.39,14.46,37750,0.016557
91005,4/2/2009,14.66,18252700,0.013831,14.64,14.67,37750,0.028727
91005,4/3/2009,15.28,8830200,0.042292,15.23,15.28,37750,0.009732
91005,4/6/2009,14.72,6333700,-0.036649,14.68,14.79,37750,-0.008332
91005,4/7/2009,14.18,3413200,-0.036685,14.17,14.22,37750,-0.023855
91005,4/8/2009,14,6632300,-0.012694,13.97,13.99,37750,0.011783
91005,4/9/2009,16.83,10659600,0.202143,16.77,16.82,37750,0.038053
91005,4/13/2009,18.04,11027400,0.071895,18,18.1,37750,0.002533
91005,4/14/2009,16.65,11914700,-0.077051,16.63,16.69,37750,-0.020065
91005,4/15/2009,17.4,5771900,0.045045,17.4,17.41,37750,0.012549
91005,4/16/2009,17.81,18580900,0.023563,17.82,17.87,37750,0.015539
91005,4/17/2009,18.47,14813900,0.037058,18.47,18.59,37750,0.004969
91005,4/20/2009,15.73,14486800,-0.148349,15.73,15.74,37750,-0.04279
91005,4/21/2009,16.78,13034600,0.066752,16.78,16.89,37750,0.021252
91005,4/22/2009,16.01,18416300,-0.045888,16.1,16.12,37750,-0.007682
91005,4/23/2009,16.61,9540500,0.037477,16.64,16.7,37750,0.009922
91005,4/24/2009,17.08,15705900,0.028296,17.08,17.12,37750,0.016797
91005,4/27/2009,16.36,9829700,-0.042155,16.36,16.4,37750,-0.010067
91005,4/28/2009,15.87,7287000,-0.029951,15.83,15.84,37750,-0.00274
91005,4/29/2009,16.61,8910400,0.046629,16.6,16.64,37750,0.02161
91005,4/30/2009,16.33,7179200,-0.016857,16.23,16.33,34700,-0.00095
