PERMNO,date,PRC,VOL,RET,BID,ASK,SHROUT,sprtrn
91451,1/2/2009,33.37,7500,0.030893,33.15,33.5,450,0.031608
91451,1/5/2009,33.15,400,-0.006593,32.8,33.16,450,-0.004668
91451,1/6/2009,33.602,3500,0.013635,33.45,33.8,450,0.007817
91451,1/7/2009,33.1,12300,-0.01494,32.87,33.22,450,-0.03001
91451,1/8/2009,33.38,1400,0.008459,33.23,33.5,450,0.003397
91451,1/9/2009,32.76,100,-0.018574,32.08,32.42,450,-0.021303
91451,1/12/2009,31.49,54500,-0.038767,31.26,31.59,450,-0.022564
91451,1/13/2009,30.67,900,-0.02604,30.47,30.89,450,0.001758
91451,1/14/2009,29.528,600,-0.037235,29.63,29.94,450,-0.03346
91451,1/15/2009,30.52,6100,0.033595,30.05,30.42,450,0.001329
91451,1/16/2009,30.032,1400,-0.01599,30.18,30.55,450,0.007562
91451,1/20/2009,29.16,2900,-0.029036,28.54,28.84,450,-0.052816
91451,1/21/2009,29.35,1800,0.006516,29.74,30.04,450,0.043491
91451,1/22/2009,28.9598,3300,-0.013295,28.96,29.26,450,-0.015162
91451,1/23/2009,28.69,2200,-0.009316,28.69,28.99,450,0.005378
91451,1/26/2009,29.04,9000,0.012199,28.95,29.25,450,0.005553
91451,1/27/2009,29.68,8200,0.022039,29.49,29.74,450,0.010926
91451,1/28/2009,30.8,4100,0.037736,30.52,30.8,450,0.033558
91451,1/29/2009,29.79,3000,-0.032792,29.3,29.62,450,-0.03312
91451,1/30/2009,29.1,1000,-0.023162,28.66,28.96,450,-0.022789
91451,2/2/2009,-28.695,0,-0.013918,28.53,28.86,450,-0.000533
91451,2/3/2009,29.61,558300,0.031887,29.39,29.63,450,0.015834
91451,2/4/2009,29.43,902100,-0.006079,29.09,29.41,450,-0.007489
91451,2/5/2009,29.8248,7900,0.013415,29.65,29.84,450,0.016366
91451,2/6/2009,30.72,1200,0.030015,30.46,30.72,450,0.026896
91451,2/9/2009,30.8,4500,0.002604,30.61,30.91,450,0.001485
91451,2/10/2009,29.38,5600,-0.046104,29.05,29.38,450,-0.049121
91451,2/11/2009,29.394,1700,0.000477,29.28,29.52,450,0.007955
91451,2/12/2009,28.52,2300,-0.029734,29.33,29.61,450,0.001739
91451,2/13/2009,29.07,2400,0.019285,28.8,29.12,450,-0.009998
91451,2/17/2009,27.82,40700,-0.043,27.53,27.91,450,-0.045559
91451,2/18/2009,27.46,6600,-0.01294,27.44,27.71,450,-0.00095
91451,2/19/2009,27.55,700,0.003278,27.39,27.73,450,-0.012024
91451,2/20/2009,27.47,18900,-0.002904,27.22,27.47,450,-0.011413
91451,2/23/2009,26.3,3000,-0.042592,26.16,26.45,450,-0.034699
91451,2/24/2009,27.41,2500,0.042205,27.38,27.67,450,0.040103
91451,2/25/2009,27.6,2600,0.006932,27.13,27.44,450,-0.010658
91451,2/26/2009,26.7788,800,-0.029754,26.6,26.87,450,-0.01578
91451,2/27/2009,26.75,2000,-0.001075,26.63,26.78,1900,-0.023564
91451,3/2/2009,25.5,8500,-0.046729,25.53,25.73,1900,-0.04662
91451,3/3/2009,25.45,2200,-0.001961,25.42,25.6,1900,-0.006407
91451,3/4/2009,26.6708,1800,0.047969,26.21,26.41,1900,0.023753
91451,3/5/2009,25.18,5500,-0.055896,25.09,25.34,1900,-0.042532
91451,3/6/2009,25,200,-0.007149,25.04,25.28,1900,0.001216
91451,3/9/2009,24.69,300,-0.0124,24.5,24.66,1900,-0.010024
91451,3/10/2009,26.01,1000,0.053463,26.08,26.34,1900,0.063663
91451,3/11/2009,-26.59,0,0.022299,26.51,26.67,1900,0.002446
91451,3/12/2009,27.43,3000,0.031591,27.19,27.45,1900,0.040729
91451,3/13/2009,27.111,1700,-0.01163,27.45,27.6,1900,0.007739
91451,3/16/2009,27.832,6400,0.026594,27.14,27.34,1900,-0.003516
91451,3/17/2009,27.79,400,-0.001509,28.14,28.35,1900,0.03214
91451,3/18/2009,29.136,9200,0.048435,28.99,29.26,1900,0.020858
91451,3/19/2009,28.83,7300,-0.010502,28.83,29.09,1900,-0.012979
91451,3/20/2009,28.5604,4300,-0.009351,28.27,28.55,1900,-0.019769
91451,3/23/2009,29.6552,2700,0.038333,30.11,30.33,1900,0.070758
91451,3/24/2009,29.77,11600,0.003871,29.43,29.64,1900,-0.020415
91451,3/25/2009,29.4,1400,-0.012429,29.79,29.98,1900,0.009626
91451,3/26/2009,30.69,100,0.043878,30.54,30.77,1900,0.02332
