PERMNO,date,PRC,VOL,RET,BID,ASK,SHROUT,sprtrn
89470,1/2/2009,84.21,1138500,-0.005292,84.21,84.29,91000,0.031608
89470,1/5/2009,84.38,5046300,0.002019,84.38,84.4,91000,-0.004668
89470,1/6/2009,84.4201,1459600,0.000475,84.37,84.41,91000,0.007817
89470,1/7/2009,84.36,2015300,-0.000712,84.36,84.43,91000,-0.03001
89470,1/8/2009,84.38,805700,0.000237,84.36,84.42,91000,0.003397
89470,1/9/2009,84.44,847200,0.000711,84.44,84.55,91000,-0.021303
89470,1/12/2009,84.46,1227900,0.000237,84.46,84.52,91000,-0.022564
89470,1/13/2009,84.47,583400,0.000118,84.45,84.47,91000,0.001758
89470,1/14/2009,84.57,1117700,0.001184,84.57,84.64,91000,-0.03346
89470,1/15/2009,84.48,4473500,-0.001064,84.48,84.51,91000,0.001329
89470,1/16/2009,84.52,660600,0.000473,84.46,84.49,91000,0.007562
89470,1/20/2009,84.56,2102800,0.000473,84.54,84.56,91000,-0.052816
89470,1/21/2009,84.43,992000,-0.001537,84.42,84.44,91000,0.043491
89470,1/22/2009,84.47,568800,0.000474,84.47,84.48,91000,-0.015162
89470,1/23/2009,84.45,1840800,-0.000237,84.4,84.47,91000,0.005378
89470,1/26/2009,84.34,910000,-0.001303,84.34,84.36,91000,0.005553
89470,1/27/2009,84.43,1186700,0.001067,84.39,84.43,91000,0.010926
89470,1/28/2009,84.4,1637100,-0.000355,84.35,84.4,91000,0.033558
89470,1/29/2009,84.24,1642800,-0.001896,84.24,84.26,91000,-0.03312
89470,1/30/2009,84.29,1134200,0.000594,84.24,84.29,84600,-0.022789
89470,2/2/2009,84.23,775400,0.000919,84.22,84.27,84600,-0.000533
89470,2/3/2009,84.14,872000,-0.001069,84.07,84.16,84600,0.015834
89470,2/4/2009,84,1806000,-0.001664,83.99,84.01,84600,-0.007489
89470,2/5/2009,84.02,1131400,0.000238,84.02,84.04,84600,0.016366
89470,2/6/2009,83.97,970500,-0.000595,83.97,84.09,84600,0.026896
89470,2/9/2009,83.94,823100,-0.000357,83.93,83.95,84600,0.001485
89470,2/10/2009,84.13,1168400,0.002263,84.14,84.17,84600,-0.049121
89470,2/11/2009,84.11,880100,-0.000238,84.11,84.12,84600,0.007955
89470,2/12/2009,84.21,879800,0.001189,84.19,84.21,84600,0.001739
89470,2/13/2009,84.05,658100,-0.0019,84.05,84.07,84600,-0.009998
89470,2/17/2009,84.27,901600,0.002617,84.23,84.28,84600,-0.045559
89470,2/18/2009,84.13,622500,-0.001661,84.12,84.13,84600,-0.00095
89470,2/19/2009,84.1,646200,-0.000357,84.06,84.12,84600,-0.012024
89470,2/20/2009,84.17,888300,0.000832,84.16,84.18,84600,-0.011413
89470,2/23/2009,84.16,2477700,-0.000119,84.13,84.17,84600,-0.034699
89470,2/24/2009,84.1,864000,-0.000713,84.1,84.11,84600,0.040103
89470,2/25/2009,83.94,919000,-0.001902,83.94,84.01,84600,-0.010658
89470,2/26/2009,83.98,863200,0.000477,83.96,83.99,84600,-0.01578
89470,2/27/2009,84.03,793500,0.000595,84.05,84.11,86700,-0.023564
89470,3/2/2009,84.09,1559300,0.002253,84.05,84.09,86700,-0.04662
89470,3/3/2009,84.02,1011700,-0.000832,83.99,84.02,86700,-0.006407
89470,3/4/2009,83.93,2098600,-0.001071,83.91,83.93,86700,0.023753
89470,3/5/2009,84.03,1025300,0.001191,84,84.04,86700,-0.042532
89470,3/6/2009,83.9684,1402900,-0.000733,83.92,83.97,86700,0.001216
89470,3/9/2009,83.89,896100,-0.000934,83.91,83.92,86700,-0.010024
89470,3/10/2009,83.84,2253300,-0.000596,83.81,83.84,86700,0.063663
89470,3/11/2009,83.88,1011600,0.000477,83.85,83.88,86700,0.002446
89470,3/12/2009,83.91,902200,0.000358,83.87,83.92,86700,0.040729
89470,3/13/2009,83.98,1319900,0.000834,83.97,83.98,86700,0.007739
89470,3/16/2009,83.87,730400,-0.00131,83.87,83.92,86700,-0.003516
89470,3/17/2009,83.85,1135100,-0.000239,83.82,83.85,86700,0.03214
