PERMNO,date,PRC,VOL,RET,BID,ASK,SHROUT,sprtrn
85633,1/2/2009,0.87,1896000,-0.112245,0.87,0.8701,58978,0.031608
85633,1/5/2009,0.79,1516000,-0.091954,0.78,0.79,58978,-0.004668
85633,1/6/2009,0.81,1062900,0.025316,0.8,0.81,58978,0.007817
85633,1/7/2009,0.7,1827700,-0.135802,0.7,0.71,58978,-0.03001
85633,1/8/2009,0.7,1271300,0,0.7,0.71,58978,0.003397
85633,1/9/2009,0.71,894900,0.014286,0.7,0.71,58978,-0.021303
85633,1/12/2009,-1.35,0,0.901409,0.01,2.69,58978,-0.022564
93318,4/20/2010,14.74,53500,C,14.7,14.79,155,0.008058
93318,4/21/2010,14.83,89800,0.006106,14.76,14.85,155,-0.001019
93318,4/22/2010,14.8,59000,-0.002023,14.76,14.82,155,0.002264
93318,4/23/2010,15.2,700100,0.027027,15.18,15.2,155,0.007124
93318,4/26/2010,15.16,475600,-0.002632,15.13,15.15,155,-0.004296
93318,4/27/2010,14.86,908700,-0.019789,14.84,14.86,155,-0.023382
93318,4/28/2010,14.9972,645200,0.009233,14.98,15,155,0.006463
93318,4/29/2010,15.23,310700,0.015523,15.22,15.26,155,0.012943
93318,4/30/2010,15.2,548000,-0.00197,15.2,15.21,155,-0.016648
93318,5/3/2010,15.18,303200,-0.001316,15.14,15.19,155,0.013121
93318,5/4/2010,14.51,586700,-0.044137,14.47,14.5,155,-0.023838
93318,5/5/2010,14.44,350800,-0.004824,14.36,14.44,155,-0.006561
93318,5/6/2010,14.254,268300,-0.012881,14.23,14.26,155,-0.032378
93318,5/7/2010,14.23,152200,-0.001684,14.2,14.27,155,-0.015308
93318,5/10/2010,14.81,124900,0.040759,14.8,14.83,155,0.043974
93318,5/11/2010,15.46,378100,0.043889,15.4,15.45,155,-0.003397
93318,5/12/2010,15.87,401600,0.02652,15.86,15.87,155,0.01374
93318,5/13/2010,15.604,300800,-0.016761,15.61,15.63,155,-0.012145
93318,5/14/2010,15.61,425400,0.000384,15.58,15.62,155,-0.0188
93318,5/17/2010,15.17,470500,-0.028187,15.15,15.16,155,0.001109
93318,5/18/2010,14.98,286900,-0.012525,14.96,14.98,155,-0.014196
93318,5/19/2010,14.24,387600,-0.049399,14.25,14.27,155,-0.00513
93318,5/20/2010,13.41,308400,-0.058287,13.35,13.41,155,-0.038976
93318,5/21/2010,13.553,176000,0.010664,13.59,13.63,155,0.015024
93318,5/24/2010,13.61,60700,0.004206,13.62,13.65,155,-0.012908
93318,5/25/2010,13.71,110200,0.007348,13.7,13.74,155,0.000354
93318,5/26/2010,13.9683,140700,0.01884,13.91,13.96,155,-0.005661
93318,5/27/2010,14.52,67500,0.039497,14.48,14.52,155,0.032876
93318,5/28/2010,14.35,53000,-0.011708,14.36,14.39,155,-0.012375
93318,6/1/2010,14.08,75000,-0.018815,14.07,14.11,155,-0.017165
93318,6/2/2010,14.4,118200,0.022727,14.42,14.46,155,0.025843
93318,6/3/2010,14.31,50600,-0.00625,14.29,14.31,155,0.004051
93318,6/4/2010,13.85,75100,-0.032145,13.86,13.9,155,-0.034411
93318,6/7/2010,13.97,132800,0.008664,13.95,13.97,155,-0.013532
93318,6/8/2010,14.3899,109900,0.030057,14.34,14.39,155,0.010976
93318,6/9/2010,14.4,125400,0.000702,14.36,14.4,155,-0.005942
93318,6/10/2010,14.69,114300,0.020139,14.69,14.7,155,0.029507
93318,6/11/2010,14.75,40000,0.004084,14.73,14.74,155,0.00438
93318,6/14/2010,14.81,69100,0.004068,14.79,14.82,155,-0.001805
93318,6/15/2010,15.22,30100,0.027684,15.17,15.2,155,0.023494
93318,6/16/2010,15.2,89000,-0.001314,15.19,15.22,155,-0.000556
93318,6/17/2010,15.45,130200,0.016447,15.41,15.45,155,0.001283
93318,6/18/2010,15.8105,128400,0.023333,15.79,15.83,155,0.001317
93318,6/21/2010,15.38,146900,-0.027229,15.36,15.38,155,-0.003857
93318,6/22/2010,15.2499,84300,-0.008459,15.21,15.25,155,-0.016071
93318,6/23/2010,15.38,33100,0.008531,15.33,15.38,155,-0.002985
93318,6/24/2010,15.05,161900,-0.021456,15.05,15.08,155,-0.016803
93318,6/25/2010,15.54,133600,0.032558,15.51,15.55,155,0.002859
93318,6/28/2010,15.44,163200,-0.006435,15.4,15.44,155,-0.002034
93318,6/29/2010,14.7501,105500,-0.044683,14.75,14.8,155,-0.031017
93318,6/30/2010,14.55,72500,-0.013566,14.55,14.58,155,-0.010113
93318,7/1/2010,14.24,164400,-0.021306,14.18,14.23,155,-0.00324
93318,7/2/2010,14.13,68600,-0.007725,14.09,14.13,155,-0.004662
93318,7/6/2010,13.94,86500,-0.013447,13.95,14.02,155,0.005359
93318,7/7/2010,14.55,62200,0.043759,14.52,14.56,155,0.031331
93318,7/8/2010,14.47,39000,-0.005498,14.47,14.5,155,0.009413
93318,7/9/2010,14.8399,45300,0.025563,14.8,14.87,155,0.007204
93318,7/12/2010,14.6,31300,-0.016166,14.6,14.62,155,0.000733
93318,7/13/2010,14.81,40000,0.014384,14.79,14.81,155,0.015379
93318,7/14/2010,14.82,47000,0.000675,14.84,14.86,155,-0.000155
93318,7/15/2010,14.87,13100,0.003374,14.87,14.9,155,0.001196
93318,7/16/2010,14.3188,71700,-0.037068,14.28,14.32,155,-0.02882
93318,7/19/2010,13.95,86800,-0.025756,13.96,13.98,155,0.005982
93318,7/20/2010,14.26,57300,0.022222,14.27,14.3,155,0.011417
93318,7/21/2010,14.23,33900,-0.002104,14.23,14.24,155,-0.01282
93318,7/22/2010,14.6,57800,0.026001,14.56,14.6,155,0.022513
93318,7/23/2010,14.69,46300,0.006164,14.69,14.71,155,0.00822
93318,7/26/2010,14.67,72300,-0.001361,14.66,14.67,155,0.0112
93318,7/27/2010,14.38,163100,-0.019768,14.34,14.39,155,-0.001049
93318,7/28/2010,14.4199,95400,0.002775,14.39,14.43,155,-0.006922
93318,7/29/2010,14.36,88500,-0.004154,14.35,14.37,155,-0.004159
93318,7/30/2010,14.515,90500,0.010794,14.5,14.53,155,0.000064
93318,8/2/2010,14.84,139300,0.022391,14.8,14.84,155,0.022023
93318,8/3/2010,15.03,82200,0.012803,14.93,14.98,155,-0.004796
93318,8/4/2010,15.3,106000,0.017964,15.27,15.3,155,0.006051
93318,8/5/2010,15.15,170500,-0.009804,15.16,15.19,155,-0.001269
93318,8/6/2010,15.16,138800,0.00066,15.17,15.2,155,-0.003704
93318,8/9/2010,15.23,158200,0.004617,15.19,15.23,155,0.005483
93318,8/10/2010,15.18,121300,-0.003283,15.15,15.18,155,-0.005967
93318,8/11/2010,14.72,169900,-0.030303,14.69,14.72,155,-0.028179
93318,8/12/2010,14.85,110600,0.008832,14.82,14.86,155,-0.005379
93318,8/13/2010,14.68,83300,-0.011448,14.66,14.69,155,-0.004024
93318,8/16/2010,14.86,158100,0.012262,14.84,14.88,155,0.00012
93318,8/17/2010,15.19,89100,0.022207,15.15,15.2,155,0.012192
93318,8/18/2010,15.31,76500,0.0079,15.29,15.31,155,0.001483
93318,8/19/2010,15.2301,85000,-0.005219,15.22,15.26,155,-0.016935
93318,8/20/2010,15.18,70500,-0.003289,15.16,15.18,155,-0.003663
93318,8/23/2010,14.99,54400,-0.012517,14.95,14.99,155,-0.00404
93318,8/24/2010,14.7309,168000,-0.017285,14.74,14.75,155,-0.014512
93318,8/25/2010,15.22,154900,0.033202,15.2,15.22,155,0.003289
93318,8/26/2010,15.49,216900,0.01774,15.51,15.54,155,-0.007685
93318,8/27/2010,15.88,272100,0.025178,15.88,15.9,155,0.016587
93318,8/30/2010,15.78,113000,-0.006297,15.76,15.79,155,-0.014719
93318,8/31/2010,15.9656,205000,0.011762,15.94,15.98,155,0.000391
93318,9/1/2010,16.2,341700,0.014682,16.17,16.2,155,0.029505
93318,9/2/2010,16.41,231200,0.012963,16.38,16.41,155,0.009081
93318,9/3/2010,16.7492,275100,0.02067,16.73,16.76,155,0.013219
93318,9/7/2010,16.69,232600,-0.003535,16.66,16.7,155,-0.011471
93318,9/8/2010,16.85,253200,0.009587,16.82,16.85,155,0.006439
93318,9/9/2010,16.6099,331700,-0.014249,16.59,16.61,155,0.004832
93318,9/10/2010,16.94,123400,0.019874,16.9,16.93,155,0.004863
93318,9/13/2010,17.19,188200,0.014758,17.14,17.19,155,0.011131
93318,9/14/2010,17.8276,472000,0.037091,17.81,17.84,155,-0.000713
93318,9/15/2010,17.88,247900,0.002939,17.85,17.88,155,0.003541
93318,9/16/2010,18.065,199600,0.010347,18.05,18.08,155,-0.000364
93318,9/17/2010,17.955,197400,-0.006089,17.93,17.98,155,0.000827
93318,9/20/2010,18.08,254600,0.006962,18.05,18.08,155,0.01521
93318,9/21/2010,18.15,307400,0.003872,18.14,18.16,155,-0.002564
93318,9/22/2010,18.51,338300,0.019835,18.46,18.51,155,-0.004825
93318,9/23/2010,18.41,248000,-0.005403,18.37,18.41,155,-0.008331
93318,9/24/2010,18.76,527100,0.019011,18.75,18.76,155,0.021194
93318,9/27/2010,18.69,220200,-0.003731,18.66,18.68,155,-0.005667
93318,9/28/2010,18.83,523500,0.007491,18.81,18.85,155,0.00485
93318,9/29/2010,18.77,441100,-0.003186,18.75,18.77,155,-0.002588
93318,9/30/2010,18.64,274800,-0.006926,18.61,18.65,6300,-0.003084
93318,10/1/2010,18.83,284400,0.010193,18.83,18.85,6300,0.004416
93318,10/4/2010,18.52,197300,-0.016463,18.51,18.54,6300,-0.008035
93318,10/5/2010,19.2,368400,0.036717,19.17,19.2,6300,0.020861
93318,10/6/2010,19.605,434500,0.021094,19.59,19.62,6300,-0.000672
93318,10/7/2010,19.16,608000,-0.022698,19.14,19.18,6300,-0.001647
93318,10/8/2010,19.35,296900,0.009917,19.34,19.36,6300,0.006122
93318,10/11/2010,19.43,308100,0.004134,19.39,19.42,6300,0.000146
93318,10/12/2010,19.43,433400,0,19.42,19.45,6300,0.003819
93318,10/13/2010,20.08,557100,0.033453,20.06,20.07,6300,0.007121
93318,10/14/2010,20.29,469000,0.010458,20.27,20.31,6300,-0.003641
93318,10/15/2010,20.19,597200,-0.004929,20.16,20.19,6300,0.002028
93318,10/18/2010,20.135,267800,-0.002724,20.13,20.17,6300,0.007244
93318,10/19/2010,18.88,550900,-0.062329,18.85,18.9,6300,-0.015877
93318,10/20/2010,19.315,331900,0.02304,19.3,19.34,6300,0.010524
93318,10/21/2010,19.05,441700,-0.01372,19.03,19.07,6300,0.001774
93318,10/22/2010,19.175,164900,0.006562,19.16,19.18,6300,0.002389
93318,10/25/2010,19.71,454100,0.027901,19.7,19.71,6300,0.002147
93318,10/26/2010,19.88,230800,0.008625,19.87,19.89,6300,0.000017
93318,10/27/2010,19.62,289000,-0.013078,19.61,19.63,6300,-0.002691
93318,10/28/2010,19.82,229400,0.010194,19.8,19.82,6300,0.001125
93318,10/29/2010,20.29,366000,0.023713,20.26,20.29,8300,-0.000439
93318,11/1/2010,20.535,559100,0.012075,20.53,20.54,8300,0.000947
93318,11/2/2010,20.86,299200,0.015827,20.84,20.85,8300,0.007759
93318,11/3/2010,20.945,565000,0.004075,20.92,20.95,8300,0.003678
93318,11/4/2010,22.46,885900,0.072332,22.42,22.46,8300,0.019283
93318,11/5/2010,22.88,814200,0.0187,22.84,22.87,8300,0.003923
93318,11/8/2010,24.08,1206000,0.052448,24.05,24.08,8300,-0.002121
93318,11/9/2010,22.675,2321600,-0.058347,22.67,22.68,8300,-0.008052
93318,11/10/2010,23.6,1025300,0.040794,23.58,23.62,8300,0.004376
93318,11/11/2010,24.025,389400,0.018008,24.01,24.04,8300,-0.004242
93318,11/12/2010,23.02,554700,-0.041831,22.97,23.02,8300,-0.011808
93318,11/15/2010,22.56,527600,-0.019983,22.51,22.56,8300,-0.001217
93318,11/16/2010,21.58,1153300,-0.04344,21.55,21.58,8300,-0.016205
93318,11/17/2010,22.13,586800,0.025487,22.1,22.13,8300,0.000212
93318,11/18/2010,23.14,742200,0.045639,23.12,23.14,8300,0.015357
93318,11/19/2010,23.41,446400,0.011668,23.35,23.41,8300,0.00254
93318,11/22/2010,23.98,511000,0.024349,23.96,23.98,8300,-0.001575
93318,11/23/2010,23.67,739800,-0.012927,23.63,23.67,8300,-0.014284
93318,11/24/2010,23.82,296800,0.006337,23.79,23.82,8300,0.014923
93318,11/26/2010,23.45,154500,-0.015533,23.44,23.46,8300,-0.007469
93318,11/29/2010,23.63,317500,0.007676,23.61,23.63,8300,-0.001379
93318,11/30/2010,24.09,476400,0.019467,24.07,24.08,11250,-0.00607
93318,12/1/2010,24.84,493900,0.031133,24.77,24.83,11250,0.021617
93318,12/2/2010,25.31,930800,0.018921,25.3,25.32,11250,0.012818
93318,12/3/2010,26.09,635900,0.030818,26.06,26.09,11250,0.002603
93318,12/6/2010,26.83,1092900,0.028363,26.81,26.83,11250,-0.001298
93318,12/7/2010,26.13,1465700,-0.02609,26.1,26.13,11250,0.000515
93318,12/8/2010,25.52,1211900,-0.023345,25.5,25.54,11250,0.003702
93318,12/9/2010,25.64,528600,0.004702,25.58,25.62,11250,0.003843
93318,12/10/2010,25.77,540700,0.00507,25.76,25.77,11250,0.006002
93318,12/13/2010,26.29,398500,0.020179,26.26,26.29,11250,0.000048
93318,12/14/2010,26.09,354700,-0.007607,26.06,26.09,11250,0.000911
93318,12/15/2010,25.42,416700,-0.02568,25.4,25.42,11250,-0.005122
93318,12/16/2010,25.22,488300,-0.007868,25.2,25.22,11250,0.006185
93318,12/17/2010,25.35,316200,0.005155,25.32,25.35,11250,0.000837
93318,12/20/2010,25.53,237000,0.007101,25.49,25.52,11250,0.002548
93318,12/21/2010,25.71,492900,0.00705,25.66,25.71,11250,0.00603
93318,12/22/2010,25.39,388800,-0.012447,25.36,25.39,11250,0.00338
93318,12/23/2010,25.49,261700,0.003939,25.46,25.49,11250,-0.001644
93318,12/27/2010,25.46,182700,-0.001177,25.45,25.47,11250,0.000613
93318,12/28/2010,26.45,621800,0.038885,26.72,26.77,11250,0.000771
93318,12/29/2010,26.67,911900,0.017472,26.62,26.64,11250,0.001009
93318,12/30/2010,26.53,646500,-0.005249,26.55,26.59,11250,-0.001508
93318,12/31/2010,27.13,497200,0.022616,27.05,27.13,13550,-0.000191
93318,1/3/2011,27.425,1240400,0.010874,27.42,27.44,13550,0.011315
93318,1/4/2011,26.1236,2103400,-0.047453,26.1,26.14,13550,-0.001313
93318,1/5/2011,25.72,838900,-0.01545,25.71,25.72,13550,0.005007
93318,1/6/2011,24.4,1022700,-0.051322,24.4,24.43,13550,-0.002123
93318,1/7/2011,24.14,1013700,-0.010656,24.13,24.16,13550,-0.001845
93318,1/10/2011,24.19,531200,0.002071,24.17,24.19,13550,-0.001376
93318,1/11/2011,25.056,717800,0.0358,25.04,25.06,13550,0.003725
93318,1/12/2011,24.93,514800,-0.005029,24.89,24.93,13550,0.009008
93318,1/13/2011,23.9,633200,-0.041316,23.88,23.9,13550,-0.001711
93318,1/14/2011,23.27,838600,-0.02636,23.29,23.3,13550,0.007385
