PERMNO,date,PRC,VOL,RET,BID,ASK,SHROUT,sprtrn
90348,1/2/2009,44.44,148800,0.037348,44.35,44.4,4701,0.031608
90348,1/5/2009,44.34,239100,-0.00225,44.42,44.49,4701,-0.004668
90348,1/6/2009,45.11,249800,0.017366,45.13,45.17,4701,0.007817
90348,1/7/2009,43.36,192100,-0.038794,43.41,43.43,4701,-0.03001
90348,1/8/2009,43.66,510700,0.006919,43.68,43.75,4701,0.003397
90348,1/9/2009,42.76,239400,-0.020614,42.83,42.84,4701,-0.021303
90348,1/12/2009,41.67,146100,-0.025491,41.59,41.64,4701,-0.022564
90348,1/13/2009,40.86,343700,-0.019438,40.82,40.86,4701,0.001758
90348,1/14/2009,39.33,260000,-0.037445,39.31,39.35,4701,-0.03346
90348,1/15/2009,39.6299,433000,0.007625,39.62,39.67,4701,0.001329
90348,1/16/2009,40.08,274400,0.011358,40,40.04,4701,0.007562
90348,1/20/2009,37.96,298100,-0.052894,37.92,38,4701,-0.052816
90348,1/21/2009,39.02,296600,0.027924,39,39.04,4701,0.043491
90348,1/22/2009,38.76,398100,-0.006663,38.71,38.75,4701,-0.015162
90348,1/23/2009,37.77,356800,-0.025542,37.58,37.65,4701,0.005378
90348,1/26/2009,38.05,238400,0.007413,38.05,38.09,4701,0.005553
90348,1/27/2009,38.8,276200,0.019711,38.72,38.77,4701,0.010926
90348,1/28/2009,40,241000,0.030928,39.97,40.02,4701,0.033558
90348,1/29/2009,38.43,207000,-0.03925,38.42,38.46,4701,-0.03312
90348,1/30/2009,37.49,149300,-0.02446,37.47,37.58,4601,-0.022789
90348,2/2/2009,36.77,126900,-0.019205,36.66,36.71,4601,-0.000533
90348,2/3/2009,37.42,151600,0.017677,37.31,37.35,4601,0.015834
90348,2/4/2009,37.29,269600,-0.003474,37.27,37.3,4601,-0.007489
90348,2/5/2009,37.63,383500,0.009118,37.64,37.69,4601,0.016366
90348,2/6/2009,38.67,169800,0.027637,38.67,38.71,4601,0.026896
90348,2/9/2009,39.52,152300,0.021981,39.48,39.52,4601,0.001485
90348,2/10/2009,37.46,308400,-0.052126,37.44,37.46,4601,-0.049121
90348,2/11/2009,37.57,207900,0.002936,37.59,37.65,4601,0.007955
90348,2/12/2009,37.31,295000,-0.00692,37.19,37.28,4601,0.001739
90348,2/13/2009,37.2,146800,-0.002948,37.05,37.11,4601,-0.009998
90348,2/17/2009,35.46,153200,-0.046774,35.36,35.42,4601,-0.045559
90348,2/18/2009,35.24,174400,-0.006204,35.16,35.21,4601,-0.00095
90348,2/19/2009,34.58,673300,-0.018729,34.45,34.61,4601,-0.012024
90348,2/20/2009,33.89,196300,-0.019954,33.85,33.89,4601,-0.011413
90348,2/23/2009,32.26,76200,-0.048097,32.29,32.39,4601,-0.034699
90348,2/24/2009,33.36,83800,0.034098,33.35,33.39,4601,0.040103
90348,2/25/2009,32.49,104900,-0.026079,32.36,32.44,4601,-0.010658
90348,2/26/2009,31.93,79800,-0.017236,31.86,31.92,4601,-0.01578
90348,2/27/2009,31.15,146000,-0.024428,31.14,31.25,5101,-0.023564
90348,3/2/2009,29.03,60600,-0.068058,28.97,29.12,5101,-0.04662
90348,3/3/2009,28.67,539600,-0.012401,28.63,28.7,5101,-0.006407
90348,3/4/2009,29.43,132800,0.026509,29.36,29.56,5101,0.023753
90348,3/5/2009,28.08,129500,-0.045872,28.04,28.08,5101,-0.042532
90348,3/6/2009,28.01,293100,-0.002493,27.99,28.06,5101,0.001216
90348,3/9/2009,27.82,151100,-0.006783,27.77,27.82,5101,-0.010024
90348,3/10/2009,30.1,161000,0.081955,30.08,30.13,5101,0.063663
90348,3/11/2009,30.26,171500,0.005316,30.21,30.38,5101,0.002446
90348,3/12/2009,31.62,199200,0.044944,31.63,31.68,5101,0.040729
90348,3/13/2009,31.65,275500,0.000949,31.58,31.63,5101,0.007739
90348,3/16/2009,31.83,190900,0.005687,31.81,31.87,5101,-0.003516
90348,3/17/2009,32.62,53300,0.024819,32.66,32.7,5101,0.03214
90348,3/18/2009,33.29,120400,0.02054,33.3,33.39,5101,0.020858
90348,3/19/2009,33.08,103900,-0.006308,33.11,33.17,5101,-0.012979
90348,3/20/2009,31.95,73100,-0.03416,31.92,31.96,5101,-0.019769
90348,3/23/2009,34.42,78800,0.077308,34.42,34.48,5101,0.070758
90348,3/24/2009,34.12,150100,-0.008716,34.06,34.15,5101,-0.020415
90348,3/25/2009,34.324,73100,0.005979,34.25,34.35,5101,0.009626
90348,3/26/2009,36.09,75600,0.051451,36.05,36.13,5101,0.02332
90348,3/27/2009,35.3,77200,-0.02189,35.28,35.34,5101,-0.020316
90348,3/30/2009,33.51,62100,-0.050708,33.52,33.57,5101,-0.034819
90348,3/31/2009,33.85,44700,0.010146,33.72,33.9,2901,0.01313
90348,4/1/2009,34.42,131900,0.016839,34.36,34.46,2901,0.016557
90348,4/2/2009,36.38,51300,0.056944,36.33,36.39,2901,0.028727
90348,4/3/2009,36.66,80300,0.007697,36.66,36.7,2901,0.009732
90348,4/6/2009,36.76,32800,0.002728,36.76,36.83,2901,-0.008332
90348,4/7/2009,35.6,73000,-0.031556,35.55,35.6,2901,-0.023855
90348,4/8/2009,35.81,58300,0.005899,35.83,35.87,2901,0.011783
90348,4/9/2009,37.89,83600,0.058084,37.88,37.96,2901,0.038053
90348,4/13/2009,37.84,102700,-0.00132,37.81,37.88,2901,0.002533
90348,4/14/2009,37.14,448400,-0.018499,37.15,37.26,2901,-0.020065
90348,4/15/2009,37.79,96300,0.017501,37.75,37.8,2901,0.012549
90348,4/16/2009,38.92,85100,0.029902,38.92,38.98,2901,0.015539
90348,4/17/2009,39.09,115400,0.004368,39.13,39.19,2901,0.004969
90348,4/20/2009,37.12,75900,-0.050397,37.08,37.14,2901,-0.04279
90348,4/21/2009,38.15,130900,0.027748,38.08,38.14,2901,0.021252
90348,4/22/2009,38.68,224600,0.013892,38.66,38.71,2901,-0.007682
90348,4/23/2009,39.01,153500,0.008531,39.04,39.11,2901,0.009922
90348,4/24/2009,39.84,112700,0.021277,39.84,39.88,2901,0.016797
90348,4/27/2009,39.26,70600,-0.014558,39.2,39.28,2901,-0.010067
90348,4/28/2009,38.82,119600,-0.011207,38.76,38.8,2901,-0.00274
90348,4/29/2009,40,57500,0.030397,40,40.05,2901,0.02161
90348,4/30/2009,40.34,98500,0.0085,40.3,40.35,3901,-0.00095
90348,5/1/2009,40.66,152800,0.007933,40.66,40.77,3901,0.005396
90348,5/4/2009,42.15,92900,0.036645,42.15,42.21,3901,0.033868
90348,5/5/2009,42.13,99600,-0.000475,42.16,42.21,3901,-0.003792
90348,5/6/2009,42.72,123800,0.014004,42.81,42.88,3901,0.017404
90348,5/7/2009,42.121,122600,-0.014022,41.96,42.03,3901,-0.013202
90348,5/8/2009,43.44,123600,0.031315,43.37,43.44,3901,0.024069
90348,5/11/2009,42.26,93600,-0.027164,42.26,42.34,3901,-0.021512
90348,5/12/2009,41.72,115500,-0.012778,41.66,41.73,3901,-0.000979
90348,5/13/2009,39.96,108500,-0.042186,39.94,39.99,3901,-0.026895
90348,5/14/2009,40.32,77800,0.009009,40.26,40.34,3901,0.010352
90348,5/15/2009,40.16,127600,-0.003968,40.15,40.26,3901,-0.01141
90348,5/18/2009,41.5,106600,0.033367,41.42,41.55,3901,0.030389
90348,5/19/2009,41.57,118000,0.001687,41.58,41.63,3901,-0.001737
90348,5/20/2009,41.59,131500,0.000481,41.55,41.6,3901,-0.005131
