PERMNO,date,PRC,VOL,RET,BID,ASK,SHROUT,sprtrn
90350,1/2/2009,35.29,2181800,-0.031824,35.33,35.37,49905,0.031608
90350,1/5/2009,34.639,7318600,-0.018447,34.57,34.67,49905,-0.004668
90350,1/6/2009,36.37,1914000,0.049973,36.37,36.43,49905,0.007817
90350,1/7/2009,35.15,1439500,-0.033544,35.09,35.14,49905,-0.03001
90350,1/8/2009,34.89,2063200,-0.007397,34.83,34.89,49905,0.003397
90350,1/9/2009,33.1,1491800,-0.051304,33.1,33.2,49905,-0.021303
90350,1/12/2009,31.16,1761200,-0.05861,31.06,31.16,49905,-0.022564
90350,1/13/2009,32.1,1792700,0.030167,32.06,32.14,49905,0.001758
90350,1/14/2009,30.42,2330300,-0.052336,30.39,30.44,49905,-0.03346
90350,1/15/2009,31.42,3927400,0.032873,31.4,31.42,49905,0.001329
90350,1/16/2009,32.61,5540200,0.037874,32.52,32.59,49905,0.007562
90350,1/20/2009,28.96,3918600,-0.111929,28.92,28.97,49905,-0.052816
90350,1/21/2009,31.99,3471500,0.104627,31.99,32,49905,0.043491
90350,1/22/2009,30.24,3904300,-0.054705,30.22,30.29,49905,-0.015162
90350,1/23/2009,31.16,3563400,0.030423,31.15,31.21,49905,0.005378
90350,1/26/2009,30.98,3755600,-0.005777,30.98,31.05,49905,0.005553
90350,1/27/2009,31.42,2490400,0.014203,31.34,31.45,49905,0.010926
90350,1/28/2009,34.14,2712700,0.086569,34.06,34.16,49905,0.033558
90350,1/29/2009,31.35,2714600,-0.081722,31.3,31.35,49905,-0.03312
90350,1/30/2009,30.06,2386500,-0.041148,30.24,30.32,47026,-0.022789
90350,2/2/2009,30.79,2732500,0.024285,30.6,30.68,47026,-0.000533
90350,2/3/2009,30.48,2159200,-0.010068,30.45,30.49,47026,0.015834
90350,2/4/2009,29.74,7818400,-0.024278,29.74,29.82,47026,-0.007489
90350,2/5/2009,29.11,4770500,-0.021184,29.16,29.19,47026,0.016366
90350,2/6/2009,31.13,4500700,0.069392,31.13,31.15,47026,0.026896
90350,2/9/2009,31.59,2626900,0.014777,31.52,31.58,47026,0.001485
90350,2/10/2009,28.78,4686400,-0.088952,28.71,28.78,47026,-0.049121
90350,2/11/2009,29.33,3494200,0.01911,29.29,29.34,47026,0.007955
90350,2/12/2009,28.83,3502500,-0.017047,28.81,28.83,47026,0.001739
90350,2/13/2009,27.06,3436000,-0.061394,27.03,27.06,47026,-0.009998
90350,2/17/2009,25.14,2560700,-0.070953,25.09,25.14,47026,-0.045559
90350,2/18/2009,25.5,5537300,0.01432,25.48,25.5,47026,-0.00095
90350,2/19/2009,24.4,2946700,-0.043137,24.39,24.41,47026,-0.012024
90350,2/20/2009,25.94,6286800,0.063115,25.94,26.04,47026,-0.011413
90350,2/23/2009,23.99,5058500,-0.075174,23.87,23.99,47026,-0.034699
90350,2/24/2009,26.02,5187700,0.084619,25.95,26.07,47026,0.040103
90350,2/25/2009,25.5199,4889800,-0.01922,25.43,25.53,47026,-0.010658
90350,2/26/2009,24.21,3820900,-0.051329,24.24,24.31,47026,-0.01578
90350,2/27/2009,23.89,3677000,-0.013218,23.88,24.01,54730,-0.023564
90350,3/2/2009,22.4,4773600,-0.062369,22.22,22.32,54730,-0.04662
90350,3/3/2009,22.49,5413800,0.004018,22.39,22.49,54730,-0.006407
90350,3/4/2009,22.85,3058600,0.016007,22.91,22.98,54730,0.023753
90350,3/5/2009,21.44,3390700,-0.061707,21.35,21.44,54730,-0.042532
90350,3/6/2009,21.15,4933700,-0.013526,21.16,21.21,54730,0.001216
90350,3/9/2009,21.62,3881900,0.022222,21.62,21.62,54730,-0.010024
90350,3/10/2009,24.63,3060800,0.139223,24.55,24.63,54730,0.063663
90350,3/11/2009,24.23,2695800,-0.01624,24.15,24.24,54730,0.002446
