PERMNO,date,PRC,VOL,RET,BID,ASK,SHROUT,sprtrn
86454,1/2/2009,50.15,34283600,0.049822,50.17,50.22,101267,0.031608
86454,1/5/2009,51.33,47644800,0.023529,51.27,51.33,101267,-0.004668
86454,1/6/2009,51.89,48376400,0.01091,51.89,51.92,101267,0.007817
86454,1/7/2009,49.69,39215700,-0.042397,49.69,49.7,101267,-0.03001
86454,1/8/2009,50.33,33274400,0.01288,50.32,50.34,101267,0.003397
86454,1/9/2009,48.64,39957300,-0.033578,48.61,48.63,101267,-0.021303
86454,1/12/2009,46.72,34441100,-0.039474,46.84,46.85,101267,-0.022564
86454,1/13/2009,47.89,46765900,0.025043,47.87,47.89,101267,0.001758
86454,1/14/2009,45.6,40609400,-0.047818,45.68,45.73,101267,-0.03346
86454,1/15/2009,46.17,44107700,0.0125,46.1,46.13,101267,0.001329
86454,1/16/2009,46.54,43672400,0.008014,46.46,46.5,101267,0.007562
86454,1/20/2009,44.06,44919900,-0.053287,44.07,44.13,101267,-0.052816
86454,1/21/2009,47.02,42387200,0.067181,47.01,47.02,101267,0.043491
86454,1/22/2009,45.73,53570600,-0.027435,45.73,45.75,101267,-0.015162
86454,1/23/2009,47.06,44228900,0.029084,47.05,47.06,101267,0.005378
86454,1/26/2009,47.93,43158900,0.018487,47.91,47.97,101267,0.005553
86454,1/27/2009,48.01,38836900,0.001669,47.94,48,101267,0.010926
86454,1/28/2009,49.32,39301700,0.027286,49.32,49.38,101267,0.033558
86454,1/29/2009,47.58,43713300,-0.03528,47.53,47.51,101267,-0.03312
86454,1/30/2009,46.92,42919400,-0.013871,46.79,46.92,101267,-0.022789
86454,2/2/2009,46.17,30590000,-0.015985,46.12,46.16,101267,-0.000533
86454,2/3/2009,46.97,31325500,0.017327,46.97,47.01,101267,0.015834
86454,2/4/2009,47.41,36118300,0.009368,47.29,47.44,101267,-0.007489
86454,2/5/2009,48.57,42584100,0.024467,48.52,48.56,101267,0.016366
86454,2/6/2009,49.47,38522300,0.01853,49.48,49.49,101267,0.026896
86454,2/9/2009,49.65,34013900,0.003639,49.69,49.71,101267,0.001485
86454,2/10/2009,47.34,56727400,-0.046526,47.34,47.39,101267,-0.049121
86454,2/11/2009,46.8,42516300,-0.011407,46.78,46.81,101267,0.007955
86454,2/12/2009,46.88,45132700,0.001709,46.88,46.91,101267,0.001739
86454,2/13/2009,46.99,37459400,0.002346,46.94,46.95,101267,-0.009998
86454,2/17/2009,43.74,51900600,-0.069164,43.69,43.72,101267,-0.045559
86454,2/18/2009,43.49,42808100,-0.005716,43.44,43.5,101267,-0.00095
86454,2/19/2009,43.5,34000400,0.00023,43.54,43.59,101267,-0.012024
86454,2/20/2009,42.38,44704200,-0.025747,42.34,42.37,101267,-0.011413
86454,2/23/2009,40.4,34484500,-0.04672,40.41,40.42,101267,-0.034699
86454,2/24/2009,42.3,33884900,0.04703,42.31,42.35,101267,0.040103
86454,2/25/2009,42.05,43811000,-0.00591,42.07,42.1,101267,-0.010658
86454,2/26/2009,42.15,32143100,0.002378,42.15,42.16,101267,-0.01578
86454,2/27/2009,41.134,43089200,-0.024104,41.13,41.14,101267,-0.023564
86454,3/2/2009,38.12,46698000,-0.073273,38.08,38.1,101267,-0.04662
86454,3/3/2009,38.31,45466000,0.004984,38.32,38.35,101267,-0.006407
86454,3/4/2009,40.14,46004100,0.047768,40.14,40.23,101267,0.023753
86454,3/5/2009,38.37,45164100,-0.044096,38.37,38.4,101267,-0.042532
86454,3/6/2009,38.79,47780500,0.010946,38.76,38.77,101267,0.001216
86454,3/9/2009,38.86,42001200,0.001805,38.86,38.89,101267,-0.010024
86454,3/10/2009,40.83,41696800,0.050695,40.84,40.89,101267,0.063663
86454,3/11/2009,40.66,38347400,-0.004164,40.64,40.66,101267,0.002446
86454,3/12/2009,41.88,31924100,0.030005,41.88,41.95,101267,0.040729
86454,3/13/2009,41.5,29573200,-0.009074,41.43,41.5,101267,0.007739
86454,3/16/2009,42.03,28061500,0.012771,42.03,42.07,101267,-0.003516
86454,3/17/2009,43.48,27707600,0.034499,43.48,43.54,101267,0.03214
86454,3/18/2009,43.92,42396800,0.01012,43.92,43.97,101267,0.020858
86454,3/19/2009,44.98,39763400,0.024135,44.94,44.97,101267,-0.012979
86454,3/20/2009,43,37640600,-0.038911,42.94,42.98,101267,-0.019769
86454,3/23/2009,46.54,46793000,0.082326,46.47,46.55,101267,0.070758
86454,3/24/2009,45.66,29798600,-0.018908,45.46,45.48,101267,-0.020415
86454,3/25/2009,45.44,33459900,-0.004818,45.5,45.52,101267,0.009626
86454,3/26/2009,45.83,34223400,0.008583,45.78,45.82,101267,0.02332
86454,3/27/2009,44.47,28671700,-0.029675,44.45,44.46,101267,-0.020316
86454,3/30/2009,42.824,27320500,-0.037014,42.8,42.83,101267,-0.034819
86454,3/31/2009,42.46,39341900,-0.0085,42.45,42.45,103220,0.01313
86454,4/1/2009,43.36,33200700,0.021196,43.39,43.4,103220,0.016557
86454,4/2/2009,45.14,35305300,0.041052,45.1,45.14,103220,0.028727
86454,4/3/2009,46.02,27522600,0.019495,45.97,46.02,103220,0.009732
86454,4/6/2009,45.09,26212000,-0.020209,45.13,45.15,103220,-0.008332
86454,4/7/2009,43.74,22315000,-0.02994,43.74,43.75,103220,-0.023855
86454,4/8/2009,44.3,23558800,0.012803,44.3,44.4,103220,0.011783
86454,4/9/2009,45.6,20336100,0.029345,45.51,45.59,103220,0.038053
86454,4/13/2009,45.1,17751800,-0.010965,45.11,45.16,103220,0.002533
86454,4/14/2009,44.98,21087500,-0.002661,44.89,44.99,103220,-0.020065
86454,4/15/2009,45.04,21218400,0.001334,44.99,45.04,103220,0.012549
86454,4/16/2009,45.25,17763400,0.004663,45.23,45.28,103220,0.015539
86454,4/17/2009,45.78,22068200,0.011713,45.73,45.74,103220,0.004969
86454,4/20/2009,43.56,18450700,-0.048493,43.56,43.57,103220,-0.04279
86454,4/21/2009,44.42,18949300,0.019743,44.42,44.47,103220,0.021252
86454,4/22/2009,43.95,21435700,-0.010581,43.97,44.04,103220,-0.007682
86454,4/23/2009,44.77,19214400,0.018658,44.77,44.83,103220,0.009922
86454,4/24/2009,46.07,23830400,0.029037,46.07,46.15,103220,0.016797
86454,4/27/2009,45.2,18362000,-0.018884,45.12,45.18,103220,-0.010067
86454,4/28/2009,45.3,15706200,0.002212,45.3,45.31,103220,-0.00274
86454,4/29/2009,46.55,21155400,0.027594,46.55,46.62,103220,0.02161
86454,4/30/2009,45.78,29583300,-0.016541,45.71,45.78,94620,-0.00095
