PERMNO,date,PRC,VOL,RET,BID,ASK,SHROUT,sprtrn
86455,1/2/2009,12.66,95798400,0.011182,12.66,12.68,585684,0.031608
86455,1/5/2009,12.45,103903800,-0.016588,12.45,12.46,585684,-0.004668
86455,1/6/2009,12.65,124573500,0.016064,12.64,12.65,585684,0.007817
86455,1/7/2009,11.99,106432700,-0.052174,12.03,12.04,585684,-0.03001
86455,1/8/2009,11.94,107452900,-0.00417,11.98,11.99,585684,0.003397
86455,1/9/2009,11.56,102151600,-0.031826,11.59,11.6,585684,-0.021303
86455,1/12/2009,10.95,145812600,-0.052768,10.94,10.95,585684,-0.022564
86455,1/13/2009,11.1,205858800,0.013699,11.04,11.08,585684,0.001758
86455,1/14/2009,10.46,163817100,-0.057658,10.45,10.46,585684,-0.03346
86455,1/15/2009,9.98,265274700,-0.045889,9.97,9.98,585684,0.001329
86455,1/16/2009,9.68,203711700,-0.03006,9.67,9.68,585684,0.007562
86455,1/20/2009,8.08,243990400,-0.165289,8.1,8.12,585684,-0.052816
86455,1/21/2009,9.27,316665200,0.147277,9.23,9.24,585684,0.043491
86455,1/22/2009,8.7,235161100,-0.061489,8.69,8.7,585684,-0.015162
86455,1/23/2009,8.99,230749600,0.033333,8.97,9.02,585684,0.005378
86455,1/26/2009,8.83,201827600,-0.017798,8.83,8.84,585684,0.005553
86455,1/27/2009,9.14,135857400,0.035108,9.14,9.15,585684,0.010926
86455,1/28/2009,10.31,312913300,0.128009,10.3,10.31,585684,0.033558
86455,1/29/2009,9.5,165410300,-0.078565,9.48,9.49,585684,-0.03312
86455,1/30/2009,9.24,229674000,-0.027368,9.24,9.28,585684,-0.022789
86455,2/2/2009,9.24,120591200,0,9.24,9.25,585684,-0.000533
86455,2/3/2009,9.07,183762000,-0.018398,9.02,9.03,585684,0.015834
86455,2/4/2009,8.97,212622900,-0.011025,8.94,8.97,585684,-0.007489
86455,2/5/2009,9.11,385367500,0.015608,9.09,9.13,585684,0.016366
86455,2/6/2009,9.79,265473100,0.074643,9.8,9.81,585684,0.026896
86455,2/9/2009,9.9,169768100,0.011236,9.92,9.95,585684,0.001485
86455,2/10/2009,8.89,324650600,-0.10202,8.88,8.89,585684,-0.049121
86455,2/11/2009,9.318,182789100,0.048144,9.31,9.32,585684,0.007955
86455,2/12/2009,9.2,229257600,-0.012664,9.2,9.2,585684,0.001739
86455,2/13/2009,8.85,169803200,-0.038043,8.83,8.84,585684,-0.009998
86455,2/17/2009,7.97,222799500,-0.099435,7.97,7.99,585684,-0.045559
86455,2/18/2009,7.97,218778900,0,7.95,7.96,585684,-0.00095
86455,2/19/2009,7.55,208896300,-0.052698,7.55,7.55,585684,-0.012024
86455,2/20/2009,7.44,409003500,-0.01457,7.44,7.45,585684,-0.011413
86455,2/23/2009,7.18,213450200,-0.034946,7.2,7.21,585684,-0.034699
86455,2/24/2009,8.05,266401800,0.12117,8.02,8.05,585684,0.040103
86455,2/25/2009,8,325159000,-0.006211,8,8,585684,-0.010658
86455,2/26/2009,8.13,315510000,0.01625,8.17,8.18,585684,-0.01578
86455,2/27/2009,7.6,250904900,-0.065191,7.59,7.62,585684,-0.023564
86455,3/2/2009,7.12,187498300,-0.063158,7.07,7.09,585684,-0.04662
86455,3/3/2009,6.98,190151200,-0.019663,6.96,6.98,585684,-0.006407
86455,3/4/2009,6.89,231571300,-0.012894,6.89,6.89,585684,0.023753
86455,3/5/2009,6.24,281442200,-0.09434,6.22,6.24,585684,-0.042532
86455,3/6/2009,6.18,215937700,-0.009615,6.11,6.17,585684,0.001216
86455,3/9/2009,6.26,244174200,0.012945,6.28,6.3,585684,-0.010024
86455,3/10/2009,7.19,354090100,0.148562,7.19,7.2,585684,0.063663
86455,3/11/2009,7.38,415210500,0.026426,7.4,7.41,585684,0.002446
86455,3/12/2009,8.14,387095400,0.102981,8.14,8.16,585684,0.040729
86455,3/13/2009,8.19,277465100,0.006142,8.2,8.2,585684,0.007739
86455,3/16/2009,8.03,287359600,-0.019536,8.02,8.03,585684,-0.003516
86455,3/17/2009,8.551,224402200,0.064882,8.55,8.57,585684,0.03214
86455,3/18/2009,9.408,413739800,0.100222,9.41,9.43,585684,0.020858
86455,3/19/2009,8.662,412721800,-0.079294,8.66,8.69,585684,-0.012979
86455,3/20/2009,8.14,304662100,-0.050309,8.14,8.15,585684,-0.019769
86455,3/23/2009,9.475,372066500,0.164005,9.54,9.57,585684,0.070758
86455,3/24/2009,9.02,299636400,-0.048021,8.98,9,585684,-0.020415
86455,3/25/2009,9.32,357904700,0.033259,9.4,9.39,585684,0.009626
86455,3/26/2009,9.43,248806800,0.011803,9.43,9.46,585684,0.02332
86455,3/27/2009,9.14,199161500,-0.030753,9.15,9.16,585684,-0.020316
86455,3/30/2009,8.35,221806800,-0.086433,8.34,8.34,585684,-0.034819
86455,3/31/2009,8.81,243753700,0.05509,8.8,8.82,483460,0.01313
86455,4/1/2009,9.06,174348400,0.028377,9.04,9.06,483460,0.016557
86455,4/2/2009,9.31,238277300,0.027594,9.3,9.31,483460,0.028727
86455,4/3/2009,9.69,182734400,0.040816,9.69,9.71,483460,0.009732
86455,4/6/2009,9.43,180501600,-0.026832,9.43,9.45,483460,-0.008332
86455,4/7/2009,9.15,172955700,-0.029693,9.14,9.15,483460,-0.023855
86455,4/8/2009,9.2,125724500,0.005465,9.2,9.21,483460,0.011783
86455,4/9/2009,10.63,312573600,0.155435,10.62,10.65,483460,0.038053
86455,4/13/2009,11.08,249529700,0.042333,11.13,11.14,483460,0.002533
86455,4/14/2009,10.35,319286700,-0.065884,10.35,10.36,483460,-0.020065
86455,4/15/2009,10.85,193179900,0.048309,10.84,10.85,483460,0.012549
