PERMNO,date,PRC,VOL,RET,BID,ASK,SHROUT,sprtrn
86457,1/2/2009,15.99,4479900,0.037638,15.98,15.99,136605,0.031608
86457,1/5/2009,15.94,6265900,-0.003127,15.91,15.93,136605,-0.004668
86457,1/6/2009,16.31,8426800,0.023212,16.28,16.3,136605,0.007817
86457,1/7/2009,15.79,6210900,-0.031882,15.78,15.79,136605,-0.03001
86457,1/8/2009,15.9,5710700,0.006966,15.9,15.92,136605,0.003397
86457,1/9/2009,15.55,3942800,-0.022013,15.54,15.55,136605,-0.021303
86457,1/12/2009,15.27,5129600,-0.018006,15.28,15.31,136605,-0.022564
86457,1/13/2009,15.2,8654100,-0.004584,15.22,15.23,136605,0.001758
86457,1/14/2009,14.74,8513300,-0.030263,14.75,14.78,136605,-0.03346
86457,1/15/2009,14.84,7652200,0.006784,14.84,14.87,136605,0.001329
86457,1/16/2009,14.94,7446400,0.006739,14.93,14.94,136605,0.007562
86457,1/20/2009,14.33,16858100,-0.04083,14.31,14.32,136605,-0.052816
86457,1/21/2009,15.02,5863200,0.048151,15.01,15.02,136605,0.043491
86457,1/22/2009,14.68,7492900,-0.022636,14.7,14.71,136605,-0.015162
86457,1/23/2009,14.89,7437400,0.014305,14.93,14.94,136605,0.005378
86457,1/26/2009,15.07,7342800,0.012089,15.12,15.14,136605,0.005553
86457,1/27/2009,15.16,6140600,0.005972,15.18,15.2,136605,0.010926
86457,1/28/2009,15.59,7137900,0.028364,15.62,15.64,136605,0.033558
86457,1/29/2009,15.13,5074900,-0.029506,15.11,15.13,136605,-0.03312
86457,1/30/2009,14.68,5075400,-0.029742,14.74,14.77,136605,-0.022789
86457,2/2/2009,14.91,4930900,0.015668,14.95,14.98,136605,-0.000533
86457,2/3/2009,15.21,6327200,0.020121,15.21,15.23,136605,0.015834
86457,2/4/2009,15.2,5782900,-0.000657,15.2,15.22,136605,-0.007489
86457,2/5/2009,15.44,8969400,0.015789,15.47,15.5,136605,0.016366
86457,2/6/2009,15.97,7666900,0.034326,16.01,16.02,136605,0.026896
86457,2/9/2009,16.01,4606900,0.002505,16.04,16.05,136605,0.001485
86457,2/10/2009,15.36,8825000,-0.0406,15.36,15.39,136605,-0.049121
86457,2/11/2009,15.39,5678500,0.001953,15.42,15.46,136605,0.007955
86457,2/12/2009,15.46,5786000,0.004548,15.46,15.49,136605,0.001739
86457,2/13/2009,15.39,3917200,-0.004528,15.43,15.44,136605,-0.009998
86457,2/17/2009,14.75,6237900,-0.041585,14.78,14.79,136605,-0.045559
86457,2/18/2009,14.76,6663400,0.000678,14.78,14.79,136605,-0.00095
86457,2/19/2009,14.4,6833400,-0.02439,14.43,14.47,136605,-0.012024
86457,2/20/2009,14.54,12284600,0.009722,14.49,14.53,136605,-0.011413
86457,2/23/2009,13.87,14199600,-0.04608,13.9,13.93,136605,-0.034699
86457,2/24/2009,14.24,8190700,0.026676,14.26,14.32,136605,0.040103
86457,2/25/2009,14.37,18432100,0.009129,14.35,14.37,136605,-0.010658
86457,2/26/2009,14.22,7070900,-0.010438,14.24,14.25,136605,-0.01578
86457,2/27/2009,14.12,6972400,-0.007032,14.15,14.21,136605,-0.023564
86457,3/2/2009,13.78,7345200,-0.024079,13.77,13.78,136605,-0.04662
