PERMNO,date,PRC,VOL,RET,BID,ASK,SHROUT,sprtrn
86452,1/2/2009,24.21,3758000,0.014244,24.22,24.24,101664,0.031608
86452,1/5/2009,24.31,6645500,0.004131,24.24,24.28,101664,-0.004668
86452,1/6/2009,23.95,8797400,-0.014809,23.95,23.98,101664,0.007817
86452,1/7/2009,23.71,4228700,-0.010021,23.69,23.71,101664,-0.03001
86452,1/8/2009,23.4,6252000,-0.013075,23.39,23.4,101664,0.003397
86452,1/9/2009,23,6061300,-0.017094,23.04,23.08,101664,-0.021303
86452,1/12/2009,23.01,6542400,0.000435,22.97,23.01,101664,-0.022564
86452,1/13/2009,23.15,9808700,0.006084,23.12,23.17,101664,0.001758
86452,1/14/2009,22.64,5902400,-0.02203,22.65,22.66,101664,-0.03346
86452,1/15/2009,22.74,7621200,0.004417,22.72,22.74,101664,0.001329
86452,1/16/2009,22.95,3835000,0.009235,22.96,22.98,101664,0.007562
86452,1/20/2009,22.68,11335200,-0.011765,22.66,22.67,101664,-0.052816
86452,1/21/2009,22.79,6566600,0.00485,22.77,22.78,101664,0.043491
86452,1/22/2009,22.77,8119500,-0.000878,22.75,22.76,101664,-0.015162
86452,1/23/2009,22.55,6117000,-0.009662,22.55,22.56,101664,0.005378
86452,1/26/2009,22.7,6673000,0.006652,22.7,22.73,101664,0.005553
86452,1/27/2009,22.82,8160400,0.005286,22.81,22.82,101664,0.010926
86452,1/28/2009,23.05,6032600,0.010079,23.03,23.06,101664,0.033558
86452,1/29/2009,22.85,4191600,-0.008677,22.83,22.84,101664,-0.03312
86452,1/30/2009,22.15,8401000,-0.030635,22.08,22.15,101664,-0.022789
86452,2/2/2009,21.96,5575000,-0.008578,21.95,21.97,101664,-0.000533
86452,2/3/2009,22.44,5453900,0.021858,22.43,22.44,101664,0.015834
86452,2/4/2009,21.83,7969400,-0.027184,21.84,21.88,101664,-0.007489
86452,2/5/2009,22.14,12049300,0.014201,22.11,22.17,101664,0.016366
86452,2/6/2009,22.52,7266500,0.017164,22.52,22.53,101664,0.026896
86452,2/9/2009,22.3,4806800,-0.009769,22.28,22.3,101664,0.001485
86452,2/10/2009,21.58,7240500,-0.032287,21.57,21.65,101664,-0.049121
86452,2/11/2009,21.7,5428100,0.005561,21.71,21.72,101664,0.007955
86452,2/12/2009,21.9,7142700,0.009217,21.9,21.91,101664,0.001739
86452,2/13/2009,21.56,3952400,-0.015525,21.54,21.57,101664,-0.009998
86452,2/17/2009,21.248,5893400,-0.014471,21.24,21.25,101664,-0.045559
86452,2/18/2009,21.36,6997200,0.005271,21.36,21.37,101664,-0.00095
86452,2/19/2009,21.63,5026900,0.01264,21.57,21.61,101664,-0.012024
86452,2/20/2009,21.3,7591400,-0.015257,21.29,21.32,101664,-0.011413
86452,2/23/2009,20.75,5494600,-0.025822,20.77,20.78,101664,-0.034699
86452,2/24/2009,21.15,6060100,0.019277,21.11,21.15,101664,0.040103
86452,2/25/2009,20.95,5800900,-0.009456,20.97,20.98,101664,-0.010658
