PERMNO,date,PRC,VOL,RET,BID,ASK,SHROUT,sprtrn
86458,1/2/2009,29.71,5375400,0.023424,29.71,29.75,63808,0.031608
86458,1/5/2009,30.13,6811000,0.014137,29.99,30.02,63808,-0.004668
86458,1/6/2009,29.7,9581400,-0.014271,29.71,29.74,63808,0.007817
86458,1/7/2009,29.46,4880400,-0.008081,29.27,29.32,63808,-0.03001
86458,1/8/2009,29.31,8393700,-0.005092,29.3,29.32,63808,0.003397
86458,1/9/2009,29.08,4481200,-0.007847,29.08,29.1,63808,-0.021303
86458,1/12/2009,29.09,4682700,0.000344,29.11,29.2,63808,-0.022564
86458,1/13/2009,28.54,7801000,-0.018907,28.5,28.53,63808,0.001758
86458,1/14/2009,28.19,6545700,-0.012264,28.2,28.22,63808,-0.03346
86458,1/15/2009,28.34,7933300,0.005321,28.35,28.36,63808,0.001329
86458,1/16/2009,28.9,6029000,0.01976,28.9,28.92,63808,0.007562
86458,1/20/2009,28.4,5973200,-0.017301,28.42,28.44,63808,-0.052816
86458,1/21/2009,28.72,6050900,0.011268,28.72,28.74,63808,0.043491
86458,1/22/2009,28.71,6774900,-0.000348,28.75,28.72,63808,-0.015162
86458,1/23/2009,28.77,7678400,0.00209,28.76,28.78,63808,0.005378
86458,1/26/2009,29.46,6168100,0.023983,29.47,29.49,63808,0.005553
86458,1/27/2009,29.6,4958700,0.004752,29.56,29.61,63808,0.010926
86458,1/28/2009,29.79,7079300,0.006419,29.76,29.79,63808,0.033558
86458,1/29/2009,29.57,8182500,-0.007385,29.6,29.62,63808,-0.03312
86458,1/30/2009,28.98,8119300,-0.019953,28.9,28.98,63808,-0.022789
86458,2/2/2009,29.14,7307700,0.005521,29.05,29.06,63808,-0.000533
86458,2/3/2009,29.27,6674100,0.004461,29.29,29.3,63808,0.015834
86458,2/4/2009,29.49,8083500,0.007516,29.51,29.62,63808,-0.007489
86458,2/5/2009,29.7,8261000,0.007121,29.64,29.7,63808,0.016366
86458,2/6/2009,29.89,7881400,0.006397,29.94,29.99,63808,0.026896
86458,2/9/2009,29.724,7296500,-0.005554,29.68,29.72,63808,0.001485
86458,2/10/2009,28.88,9563800,-0.028395,28.83,28.92,63808,-0.049121
86458,2/11/2009,28.79,8869900,-0.003116,28.7,28.74,63808,0.007955
86458,2/12/2009,28.54,11908000,-0.008684,28.42,28.45,63808,0.001739
86458,2/13/2009,28.37,6889500,-0.005957,28.34,28.37,63808,-0.009998
86458,2/17/2009,27.14,9309700,-0.043356,27.03,27.07,63808,-0.045559
86458,2/18/2009,26.73,8623700,-0.015107,26.69,26.72,63808,-0.00095
86458,2/19/2009,26.848,7819500,0.004415,26.83,26.85,63808,-0.012024
86458,2/20/2009,26.24,11346300,-0.022646,26.19,26.23,63808,-0.011413
86458,2/23/2009,25.61,5783500,-0.024009,25.56,25.6,63808,-0.034699
86458,2/24/2009,26.35,7726000,0.028895,26.36,26.41,63808,0.040103
86458,2/25/2009,26.18,6559100,-0.006452,26.15,26.17,63808,-0.010658
86458,2/26/2009,25.75,6724200,-0.016425,25.7,25.73,63808,-0.01578
86458,2/27/2009,25.35,9145400,-0.015534,25.31,25.35,63808,-0.023564
86458,3/2/2009,24.55,11494700,-0.031558,24.43,24.5,63808,-0.04662
86458,3/3/2009,23.67,6113400,-0.035845,23.59,23.61,63808,-0.006407
86458,3/4/2009,23.89,5701100,0.009294,23.91,23.95,63808,0.023753
86458,3/5/2009,23.21,11321500,-0.028464,23.15,23.16,63808,-0.042532
86458,3/6/2009,23.18,9966400,-0.001292,23.19,23.23,63808,0.001216
86458,3/9/2009,22.74,10118500,-0.018982,22.66,22.74,63808,-0.010024
86458,3/10/2009,23.04,8585700,0.013193,23.08,23.14,63808,0.063663
86458,3/11/2009,23,9392700,-0.001736,23.01,23.07,63808,0.002446
86458,3/12/2009,23.3,6516400,0.013043,23.32,23.36,63808,0.040729
86458,3/13/2009,23.62,7156900,0.013734,23.62,23.66,63808,0.007739
86458,3/16/2009,24.26,8983700,0.027096,24.3,24.33,63808,-0.003516
86458,3/17/2009,24.64,6313900,0.015664,24.64,24.73,63808,0.03214
86458,3/18/2009,25.44,8897900,0.032468,25.47,25.5,63808,0.020858
86458,3/19/2009,25.81,8747700,0.014544,25.8,25.82,63808,-0.012979
86458,3/20/2009,25.35,7856700,-0.006907,25.31,25.35,63808,-0.019769
86458,3/23/2009,26.33,7055700,0.038659,26.34,26.35,63808,0.070758
86458,3/24/2009,25.76,6445000,-0.021648,25.77,25.91,63808,-0.020415
86458,3/25/2009,25.75,7075600,-0.000388,25.7,25.74,63808,0.009626
86458,3/26/2009,26.06,6961200,0.012039,26.08,26.14,63808,0.02332
86458,3/27/2009,25.8,7694900,-0.009977,25.75,25.78,63808,-0.020316
86458,3/30/2009,25.29,8899100,-0.019767,25.24,25.28,63808,-0.034819
86458,3/31/2009,25.55,7701700,0.010281,25.55,25.64,79110,0.01313
86458,4/1/2009,25.65,5540500,0.003914,25.67,25.68,79110,0.016557
86458,4/2/2009,25.98,9312400,0.012865,26,26.06,79110,0.028727
86458,4/3/2009,26.15,5210100,0.006543,26.15,26.18,79110,0.009732
86458,4/6/2009,25.93,5510700,-0.008413,25.83,25.92,79110,-0.008332
86458,4/7/2009,25.81,4548700,-0.004628,25.66,25.73,79110,-0.023855
86458,4/8/2009,26.06,4475300,0.009686,26.06,26.11,79110,0.011783
86458,4/9/2009,26.07,6163700,0.000384,26.08,26.11,79110,0.038053
86458,4/13/2009,25.73,4574100,-0.013042,25.69,25.73,79110,0.002533
86458,4/14/2009,25.4,6403400,-0.012825,25.37,25.44,79110,-0.020065
86458,4/15/2009,25.64,4925700,0.009449,25.69,25.7,79110,0.012549
86458,4/16/2009,25.82,20328200,0.00702,25.74,25.77,79110,0.015539
86458,4/17/2009,25.78,6824500,-0.001549,25.79,25.83,79110,0.004969
86458,4/20/2009,25.49,4977500,-0.011249,25.49,25.53,79110,-0.04279
86458,4/21/2009,25.584,3790300,0.003688,25.58,25.6,79110,0.021252
86458,4/22/2009,25.31,6268300,-0.01071,25.29,25.3,79110,-0.007682
86458,4/23/2009,25.4,6490100,0.003556,25.36,25.4,79110,0.009922
86458,4/24/2009,25.36,5720100,-0.001575,25.26,25.3,79110,0.016797
86458,4/27/2009,25.54,5656200,0.007098,25.5,25.54,79110,-0.010067
86458,4/28/2009,25.64,4540900,0.003915,25.62,25.63,79110,-0.00274
86458,4/29/2009,25.83,6688500,0.00741,25.82,25.85,79110,0.02161
86458,4/30/2009,25.85,8539100,0.000774,25.8,25.85,79320,-0.00095
86458,5/1/2009,26.53,3491800,0.026306,26.5,26.53,79320,0.005396
86458,5/4/2009,26.93,7614900,0.015077,26.88,26.89,79320,0.033868
86458,5/5/2009,26.88,3852900,-0.001857,26.87,26.88,79320,-0.003792
86458,5/6/2009,26.72,4853300,-0.005952,26.72,26.79,79320,0.017404
86458,5/7/2009,26.86,6903000,0.00524,26.85,26.89,79320,-0.013202
86458,5/8/2009,27.25,8105700,0.01452,27.26,27.31,79320,0.024069
86458,5/11/2009,27.13,3901700,-0.004404,27.14,27.18,79320,-0.021512
86458,5/12/2009,27.32,4505200,0.007003,27.32,27.35,79320,-0.000979
86458,5/13/2009,26.59,7408700,-0.02672,26.59,26.65,79320,-0.026895
86458,5/14/2009,26.57,4503700,-0.000752,26.51,26.55,79320,0.010352
86458,5/15/2009,25.94,10400700,-0.023711,25.94,25.96,79320,-0.01141
86458,5/18/2009,25.94,5424100,0,25.92,25.94,79320,0.030389
86458,5/19/2009,26.41,6796600,0.018119,26.4,26.41,79320,-0.001737
86458,5/20/2009,25.93,7092300,-0.018175,25.91,25.92,79320,-0.005131
86458,5/21/2009,25.62,5785000,-0.011955,25.62,25.63,79320,-0.016758
86458,5/22/2009,25.83,4892500,0.008197,25.83,25.85,79320,-0.001497
86458,5/26/2009,26.58,7123500,0.029036,26.53,26.57,79320,0.026302
86458,5/27/2009,26.04,5936800,-0.020316,26.02,26.05,79320,-0.018971
86458,5/28/2009,26.58,6474900,0.020737,26.58,26.62,79320,0.015419
