PERMNO,date,PRC,VOL,RET,BID,ASK,SHROUT,sprtrn
86451,1/2/2009,27.09,3589100,0.020339,27.09,27.11,81961,0.031608
86451,1/5/2009,26.96,3880600,-0.004799,26.82,26.87,81961,-0.004668
86451,1/6/2009,26.52,5732100,-0.01632,26.49,26.53,81961,0.007817
86451,1/7/2009,26.28,3947300,-0.00905,26.25,26.29,81961,-0.03001
86451,1/8/2009,26.43,5521600,0.005708,26.39,26.41,81961,0.003397
86451,1/9/2009,26.15,3906400,-0.010594,26.15,26.19,81961,-0.021303
86451,1/12/2009,25.81,4811700,-0.013002,25.79,25.85,81961,-0.022564
86451,1/13/2009,26.03,5286100,0.008524,26.02,26.06,81961,0.001758
86451,1/14/2009,25.66,3907500,-0.014214,25.67,25.68,81961,-0.03346
86451,1/15/2009,25.84,7710800,0.007015,25.84,25.85,81961,0.001329
86451,1/16/2009,26.06,4456600,0.008514,26.07,26.09,81961,0.007562
86451,1/20/2009,25.43,8966900,-0.024175,25.44,25.45,81961,-0.052816
86451,1/21/2009,25.97,6294300,0.021235,25.97,26.01,81961,0.043491
86451,1/22/2009,26.08,4778900,0.004236,26.06,26.07,81961,-0.015162
86451,1/23/2009,26.08,4563300,0,26.07,26.08,81961,0.005378
86451,1/26/2009,25.94,6880900,-0.005368,25.98,26.02,81961,0.005553
86451,1/27/2009,26.48,5819200,0.020817,26.53,26.54,81961,0.010926
86451,1/28/2009,26.89,8140500,0.015483,26.84,26.89,81961,0.033558
86451,1/29/2009,26.51,3911100,-0.014132,26.53,26.55,81961,-0.03312
86451,1/30/2009,26.23,5236200,-0.010562,26.19,26.23,81961,-0.022789
86451,2/2/2009,26.4,5823100,0.006481,26.45,26.46,81961,-0.000533
86451,2/3/2009,27.08,6919100,0.025758,27.08,27.1,81961,0.015834
86451,2/4/2009,26.96,4998200,-0.004431,26.88,26.92,81961,-0.007489
86451,2/5/2009,27.19,4569800,0.008531,27.11,27.19,81961,0.016366
86451,2/6/2009,27.41,4571700,0.008091,27.38,27.42,81961,0.026896
86451,2/9/2009,27.33,3549000,-0.002919,27.31,27.33,81961,0.001485
86451,2/10/2009,26.42,6174100,-0.033297,26.43,26.46,81961,-0.049121
86451,2/11/2009,26.75,4152600,0.012491,26.75,26.77,81961,0.007955
86451,2/12/2009,27.06,6363500,0.011589,26.99,27,81961,0.001739
86451,2/13/2009,26.65,4067600,-0.015152,26.73,26.74,81961,-0.009998
86451,2/17/2009,26.19,5869400,-0.017261,26.23,26.25,81961,-0.045559
86451,2/18/2009,26.18,5876000,-0.000382,26.16,26.17,81961,-0.00095
86451,2/19/2009,26.13,3896700,-0.00191,26.16,26.19,81961,-0.012024
86451,2/20/2009,25.86,6713200,-0.010333,25.89,25.92,81961,-0.011413
86451,2/23/2009,25.35,8094000,-0.019722,25.26,25.3,81961,-0.034699
86451,2/24/2009,25.72,4740900,0.014596,25.67,25.72,81961,0.040103
86451,2/25/2009,25.2,7642700,-0.020218,25.23,25.24,81961,-0.010658
86451,2/26/2009,23.94,7676300,-0.05,23.96,23.98,81961,-0.01578
86451,2/27/2009,22.98,9912600,-0.0401,22.96,23.01,81961,-0.023564
86451,3/2/2009,21.99,11638700,-0.043081,22.02,22.03,81961,-0.04662
86451,3/3/2009,21.94,7500900,-0.002274,21.94,21.97,81961,-0.006407
86451,3/4/2009,22.57,5911200,0.028715,22.56,22.58,81961,0.023753
86451,3/5/2009,21.97,6274100,-0.026584,21.86,21.87,81961,-0.042532
86451,3/6/2009,22.29,8982500,0.014565,22.08,22.15,81961,0.001216
86451,3/9/2009,21.88,7060100,-0.018394,21.86,21.88,81961,-0.010024
86451,3/10/2009,22.67,7928700,0.036106,22.67,22.68,81961,0.063663
86451,3/11/2009,22.26,10766500,-0.018086,22.23,22.26,81961,0.002446
86451,3/12/2009,23.35,8992000,0.048967,23.36,23.38,81961,0.040729
86451,3/13/2009,24.13,11528800,0.033405,24.13,24.16,81961,0.007739
86451,3/16/2009,23.87,6934700,-0.010775,23.87,23.89,81961,-0.003516
86451,3/17/2009,24.24,4510700,0.015501,24.24,24.25,81961,0.03214
86451,3/18/2009,24.28,6840200,0.00165,24.27,24.29,81961,0.020858
86451,3/19/2009,23.69,9299700,-0.0243,23.68,23.7,81961,-0.012979
86451,3/20/2009,23.55,4831600,0.000263,23.55,23.56,81961,-0.019769
86451,3/23/2009,24.41,5069900,0.036518,24.46,24.49,81961,0.070758
86451,3/24/2009,24.09,6040800,-0.013109,24.09,24.14,81961,-0.020415
86451,3/25/2009,24.25,4271700,0.006642,24.25,24.26,81961,0.009626
86451,3/26/2009,24.52,6769700,0.011134,24.54,24.55,81961,0.02332
86451,3/27/2009,24.26,4769700,-0.010604,24.35,24.41,81961,-0.020316
86451,3/30/2009,24.12,5020200,-0.005771,24.18,24.2,81961,-0.034819
86451,3/31/2009,24.21,8359200,0.003731,24.22,24.32,87260,0.01313
86451,4/1/2009,24.2,6837200,-0.000413,24.21,24.26,87260,0.016557
