PERMNO,date,PRC,VOL,RET,BID,ASK,SHROUT,sprtrn
86453,1/2/2009,22.65,8790600,0.05007,22.44,22.52,33052,0.031608
86453,1/5/2009,22.55,6450000,-0.004415,22.5,22.55,33052,-0.004668
86453,1/6/2009,22.93,7135300,0.016851,22.88,22.99,33052,0.007817
86453,1/7/2009,22.02,4843700,-0.039686,22.09,22.15,33052,-0.03001
86453,1/8/2009,22.15,5392900,0.005904,22.17,22.19,33052,0.003397
86453,1/9/2009,21.47,4107700,-0.0307,21.48,21.57,33052,-0.021303
86453,1/12/2009,20.96,5070300,-0.023754,20.98,21.01,33052,-0.022564
86453,1/13/2009,20.69,7976300,-0.012882,20.68,20.73,33052,0.001758
86453,1/14/2009,19.88,6967000,-0.039149,19.97,19.99,33052,-0.03346
86453,1/15/2009,20.37,12496800,0.024648,20.38,20.4,33052,0.001329
86453,1/16/2009,20.61,9021900,0.011782,20.63,20.66,33052,0.007562
86453,1/20/2009,19.4,11222700,-0.058709,19.38,19.39,33052,-0.052816
86453,1/21/2009,19.99,11436700,0.030412,19.99,20,33052,0.043491
86453,1/22/2009,19.74,8734500,-0.012506,19.74,19.76,33052,-0.015162
86453,1/23/2009,19.68,8079800,-0.003039,19.67,19.68,33052,0.005378
86453,1/26/2009,19.82,6112600,0.007114,19.79,19.82,33052,0.005553
86453,1/27/2009,19.76,5022600,-0.003027,19.78,19.81,33052,0.010926
86453,1/28/2009,20.6,7701100,0.04251,20.6,20.62,33052,0.033558
86453,1/29/2009,19.77,7172300,-0.040291,19.78,19.82,33052,-0.03312
86453,1/30/2009,19.28,8765300,-0.024785,19.23,19.3,33052,-0.022789
86453,2/2/2009,19.1,5201900,-0.009336,19.11,19.13,33052,-0.000533
86453,2/3/2009,19.64,6379900,0.028272,19.66,19.68,33052,0.015834
86453,2/4/2009,19.21,6847100,-0.021894,19.17,19.18,33052,-0.007489
86453,2/5/2009,19.57,6392000,0.01874,19.54,19.57,33052,0.016366
86453,2/6/2009,20.13,6818400,0.028615,20.13,20.14,33052,0.026896
86453,2/9/2009,20.07,3994100,-0.002981,20.09,20.11,33052,0.001485
86453,2/10/2009,19.12,7616600,-0.047334,19.15,19.19,33052,-0.049121
86453,2/11/2009,19.27,5047400,0.007845,19.19,19.31,33052,0.007955
86453,2/12/2009,19.3,9558300,0.001557,19.28,19.29,33052,0.001739
86453,2/13/2009,18.99,7272300,-0.016062,18.99,19,33052,-0.009998
86453,2/17/2009,18.27,4775300,-0.037915,18.24,18.27,33052,-0.045559
86453,2/18/2009,18.15,9847900,-0.006568,18.09,18.11,33052,-0.00095
86453,2/19/2009,17.96,9103700,-0.010468,17.96,18,33052,-0.012024
86453,2/20/2009,17.84,13448600,-0.006681,17.84,17.86,33052,-0.011413
86453,2/23/2009,17.44,6824800,-0.022422,17.38,17.44,33052,-0.034699
86453,2/24/2009,18.2,9550300,0.043578,18.19,18.2,33052,0.040103
86453,2/25/2009,18.03,12043300,-0.009341,18,18.03,33052,-0.010658
86453,2/26/2009,17.65,6604400,-0.021076,17.61,17.65,33052,-0.01578
86453,2/27/2009,17.53,6991000,-0.006799,17.56,17.65,33052,-0.023564
86453,3/2/2009,16.87,10151600,-0.03765,16.87,16.95,33052,-0.04662
86453,3/3/2009,16.74,10516200,-0.007706,16.65,16.74,33052,-0.006407
86453,3/4/2009,17.11,8630300,0.022103,17.13,17.16,33052,0.023753
86453,3/5/2009,16.31,10852300,-0.046756,16.35,16.38,33052,-0.042532
86453,3/6/2009,16.32,11070500,0.000613,16.19,16.33,33052,0.001216
86453,3/9/2009,16.11,5134100,-0.012868,16.02,16.09,33052,-0.010024
86453,3/10/2009,17.1,7966600,0.061452,17.11,17.16,33052,0.063663
86453,3/11/2009,17.37,6067600,0.015789,17.33,17.37,33052,0.002446
86453,3/12/2009,18.01,7023200,0.036845,18.02,18.04,33052,0.040729
86453,3/13/2009,18.22,4382300,0.01166,18.19,18.2,33052,0.007739
86453,3/16/2009,17.79,4723700,-0.0236,17.83,17.9,33052,-0.003516
86453,3/17/2009,18.65,6938700,0.048342,18.65,18.7,33052,0.03214
86453,3/18/2009,19.24,8035500,0.031635,19.16,19.28,33052,0.020858
86453,3/19/2009,19.03,9825400,-0.010915,19.03,19.09,33052,-0.012979
86453,3/20/2009,18.55,6567000,-0.019839,18.47,18.51,33052,-0.019769
86453,3/23/2009,19.86,9381600,0.07062,19.82,19.83,33052,0.070758
86453,3/24/2009,19.6,10127000,-0.013092,19.57,19.59,33052,-0.020415
86453,3/25/2009,19.74,6737800,0.007143,19.75,19.78,33052,0.009626
86453,3/26/2009,20.65,10584800,0.046099,20.58,20.65,33052,0.02332
86453,3/27/2009,20.1,9272700,-0.026634,20.14,20.15,33052,-0.020316
86453,3/30/2009,19.5,6536500,-0.029851,19.49,19.51,33052,-0.034819
86453,3/31/2009,19.65,4681900,0.007692,19.56,19.63,31000,0.01313
86453,4/1/2009,20.01,9455200,0.018321,20.03,20.06,31000,0.016557
86453,4/2/2009,21.11,10997200,0.054973,21.1,21.11,31000,0.028727
86453,4/3/2009,21.39,4953500,0.013264,21.4,21.42,31000,0.009732
86453,4/6/2009,21.09,4641200,-0.014025,21.13,21.2,31000,-0.008332
86453,4/7/2009,20.47,4320000,-0.029398,20.47,20.51,31000,-0.023855
86453,4/8/2009,21.05,3347700,0.028334,21.06,21.14,31000,0.011783
86453,4/9/2009,21.91,8854200,0.040855,21.94,21.99,31000,0.038053
86453,4/13/2009,21.92,3482300,0.000456,21.89,21.91,31000,0.002533
86453,4/14/2009,21.43,4440800,-0.022354,21.41,21.45,31000,-0.020065
