PERMNO,date,PRC,VOL,RET,BID,ASK,SHROUT,sprtrn
91316,1/2/2009,21.21,4631100,0.041493,21.27,21.32,12500,0.031608
91316,1/5/2009,21.45,4096500,0.011315,21.44,21.45,12500,-0.004668
91316,1/6/2009,21.67,5824400,0.010256,21.67,21.7,12500,0.007817
91316,1/7/2009,21.2,4468800,-0.021689,21.17,21.2,12500,-0.03001
91316,1/8/2009,21.59,5806100,0.018396,21.59,21.61,12500,0.003397
91316,1/9/2009,20.8,6197300,-0.036591,20.82,20.85,12500,-0.021303
91316,1/12/2009,20.3,4909500,-0.024038,20.31,20.35,12500,-0.022564
91316,1/13/2009,20.32,3588800,0.000985,20.29,20.32,12500,0.001758
91316,1/14/2009,19.59,7567100,-0.035925,19.56,19.58,12500,-0.03346
91316,1/15/2009,20.2,12804400,0.031138,20.21,20.23,12500,0.001329
91316,1/16/2009,20.58,7393600,0.018812,20.58,20.61,12500,0.007562
91316,1/20/2009,19.4,7392700,-0.057337,19.37,19.38,12500,-0.052816
91316,1/21/2009,19.94,6238800,0.027835,19.93,19.94,12500,0.043491
91316,1/22/2009,19.91,8570900,-0.001505,19.88,19.91,12500,-0.015162
91316,1/23/2009,19.9999,6617900,0.004515,19.98,19.99,12500,0.005378
91316,1/26/2009,20.29,6801400,0.014505,20.25,20.28,12500,0.005553
91316,1/27/2009,20.28,3742100,-0.000493,20.29,20.29,12500,0.010926
91316,1/28/2009,21.17,5573200,0.043886,21.15,21.18,12500,0.033558
91316,1/29/2009,20.33,7003800,-0.039679,20.33,20.34,12500,-0.03312
91316,1/30/2009,19.67,11057200,-0.032464,19.67,19.69,12500,-0.022789
91316,2/2/2009,19.55,9783900,-0.006101,19.54,19.56,12500,-0.000533
91316,2/3/2009,19.96,6422500,0.020972,19.97,19.99,12500,0.015834
91316,2/4/2009,19.52,11878400,-0.022044,19.57,19.6,12500,-0.007489
91316,2/5/2009,20.18,8469800,0.033811,20.17,20.18,12500,0.016366
91316,2/6/2009,21.05,13291400,0.043112,21.05,21.08,12500,0.026896
91316,2/9/2009,20.99,4309300,-0.00285,20.98,20.99,12500,0.001485
91316,2/10/2009,20.09,10981200,-0.042878,20.1,20.13,12500,-0.049121
91316,2/11/2009,20.12,5063700,0.001493,20.12,20.13,12500,0.007955
91316,2/12/2009,20.25,8727600,0.006461,20.23,20.28,12500,0.001739
91316,2/13/2009,20.06,4202800,-0.009383,20.04,20.05,12500,-0.009998
91316,2/17/2009,19.46,8516100,-0.02991,19.46,19.49,12500,-0.045559
91316,2/18/2009,19.47,8934300,0.000514,19.45,19.48,12500,-0.00095
91316,2/19/2009,19.81,6808000,0.017463,19.78,19.82,12500,-0.012024
91316,2/20/2009,19.89,10459300,0.004038,19.89,19.92,12500,-0.011413
91316,2/23/2009,19.37,6160800,-0.026144,19.37,19.38,12500,-0.034699
91316,2/24/2009,20.1,7074300,0.037687,20.08,20.13,12500,0.040103
91316,2/25/2009,20.07,6512400,-0.001493,20.06,20.07,12500,-0.010658
91316,2/26/2009,19.54,8092500,-0.026408,19.53,19.56,12500,-0.01578
91316,2/27/2009,19.81,9973800,0.013818,19.78,19.81,12500,-0.023564
91316,3/2/2009,19.07,7200100,-0.037355,19.05,19.08,12500,-0.04662
91316,3/3/2009,18.8,7389200,-0.014158,18.79,18.83,12500,-0.006407
91316,3/4/2009,19.26,5643400,0.024468,19.25,19.26,12500,0.023753
91316,3/5/2009,18.56,10811400,-0.036345,18.56,18.58,12500,-0.042532
91316,3/6/2009,18.3,9710200,-0.014009,18.28,18.3,12500,0.001216
91316,3/9/2009,18.27,5637100,-0.001639,18.24,18.27,12500,-0.010024
91316,3/10/2009,19.66,13243300,0.076081,19.68,19.71,12500,0.063663
91316,3/11/2009,19.87,6828600,0.010682,19.87,19.88,12500,0.002446
91316,3/12/2009,20.61,7973600,0.037242,20.62,20.63,12500,0.040729
91316,3/13/2009,20.83,6193900,0.010674,20.83,20.84,12500,0.007739
91316,3/16/2009,20.51,3290800,-0.015362,20.49,20.51,12500,-0.003516
91316,3/17/2009,21.35,8332700,0.040956,21.31,21.38,12500,0.03214
91316,3/18/2009,22,7760500,0.030445,21.98,22.01,12500,0.020858
91316,3/19/2009,21.91,6768400,-0.004091,21.91,21.97,12500,-0.012979
91316,3/20/2009,21.33,12972500,-0.025053,21.32,21.33,12500,-0.019769
91316,3/23/2009,22.71,13199300,0.064698,22.7,22.73,12500,0.070758
91316,3/24/2009,22.58,10184900,-0.005724,22.58,22.63,12500,-0.020415
91316,3/25/2009,22.73,8784200,0.006643,22.7,22.75,12500,0.009626
91316,3/26/2009,23.84,10372700,0.048834,23.77,23.84,12500,0.02332
91316,3/27/2009,23.48,8584000,-0.015101,23.5,23.51,12500,-0.020316
91316,3/30/2009,22.97,5583200,-0.021721,22.96,22.96,12500,-0.034819
91316,3/31/2009,22.91,8595000,-0.002612,22.84,22.9,16400,0.01313
91316,4/1/2009,23.41,10505600,0.021825,23.26,23.3,16400,0.016557
91316,4/2/2009,24.39,9047900,0.041862,24.41,24.4,16400,0.028727
